tic,equity,shares,ebit,net_income,sale,price
AIR,902.6,35.097,108.4,4.4,2089.3,45.1
AAL,-118,428.203,3706,1686,45768,28.68
CECE,193.017,35.137,19.622,17.707,341.869,7.66
PNW,5430.648,112.436,671.96,538.32,3471.209,89.93
PRG,1737.259,66.718,313.931,31.472,3947.656,57.11
ABT,31088,1762.503,5041,3687,31904,86.86
AMD,2827,1170,583,341,6731,45.86
APD,11053.6,220.415,2120.5,1760,8918.9,234.99
ALK,4331,123,1107,769,8781,67.75
ATRI,237.87,1.855,40.529,36.761,155.066,751.5
MATX,805.7,42.9,108.3,82.7,2203.1,40.8
ALX,253.515,5.107,99.489,60.075,226.35,330.35
ALCO,194.303,7.477,29.828,37.833,122.251,35.83
Y,8776.734,14.365,1208.593,857.801,9025.716,799.57
HON,18494,711.1,7397,6143,36709,177
SWKS,4122.3,170.1,1042.1,853.6,3376.8,120.88
HES,8732,304.955,637,-408,6495,66.81
UHAL,4220.72,19.608,512.313,442.048,3978.868,375.82
ABM,1542,66.571,225.9,127.4,6498.6,37.71
PRI,1652.491,41.207,505.922,366.391,2052.504,130.56
ECOL,1011.38,31.461,74.094,33.14,685.509,57.91
AEP,19632.2,494.169,2592.3,1921.1,15561.4,94.51
AXP,23071,810,9582,6759,47020,124.49
AFL,28959,726.793,4735,3304,22369,52.9
AIG,65190,869.999,6617,3348,49310,51.33
ANAT,5989.749,26.887,694.377,620.363,4070.143,117.68
AMSWA,119.422,32.234,6.048,6.742,115.466,14.88
AVD,344.156,30.173,21.601,13.601,468.186,19.47
AME,5115.492,229.083,1177.38,861.297,5158.557,99.74
AMGN,9673,591.4,9721,7842,23362,241.07
ADI,11709.188,368.302,1806.267,1363.011,5991.065,118.84
ANDE,973.61,33.343,90.387,18.307,8170.191,25.28
NBR,1982.805,363.398,-76.355,-702.885,3043.383,2.88
APA,3255,376.063,-2627,-3553,6280,25.59
APOG,516.778,26.443,87.848,61.914,1387.439,32.5
AAPL,90488,4443.236,63930,55256,260174,293.65
AMAT,8214,916,3372,2706,14608,61.04
EPAC,301.179,60.465,76.316,-249.145,654.758,26.03
TREC,171.154,24.75,13.289,-14.974,258.959,7.15
ADM,19208,557,1671,1379,64656,46.35
ARCB,763.043,25.406,84.392,39.985,2988.31,27.6
ARW,4811.919,80.62,957.348,-204.087,28916.847,84.74
ASH,3571,60,264,505,2493,76.53
ATRO,388.857,30.998,50.156,52.017,772.702,27.95
REX,401.007,6.292,-6.773,7.427,418.034,81.96
ADSK,-139.1,219.4,366.8,214.5,3274.3,183.46
ADP,5399.9,434.2,3080.8,2292.8,14175.2,170.5
AVY,1204,83.367,823.7,303.6,7070.1,130.82
AVT,4140.473,104.038,611.451,176.337,19518.592,42.44
AZZ,634.366,26.148,107.132,48.234,1061.817,45.95
BRT,199.653,15.638,0.528,0.856,28.867,16.97
BMI,331.068,29.119,62.148,47.177,424.625,64.93
BCPC,743.667,32.202,104.288,79.671,643.705,101.63
PTVCB,364.316,14.279,7.029,7.347,493.953,16.09
BLL,2949,324.635,1176,566,11474,64.67
BPOP,5966.619,95.59,1457.182,671.135,2830.676,58.75
BOH,1286.832,40.04,368.584,225.913,770.735,95.16
BK,37941,900.683,7730,4441,20007,50.33
B,1270.528,50.822,244.108,158.35,1491.118,61.96
BAX,7882,506.155,1937,1001,11362,83.62
AIT,897.034,38.597,267.682,143.993,3472.739,66.69
BDX,21079,270.427,2894,1233,17290,271.97
BELFB,168.051,12.273,7.942,-8.743,492.412,20.5
VZ,61395,4135.828,30303,19265,131868,61.4
BBY,3479,256.494,2053,1541,43638,87.8
BIO,5755.057,29.926,255.36,1758.675,2311.659,370.03
BKH,2362.123,61.477,406.042,199.31,1734.9,78.54
HRB,71.041,192.475,183.083,-7.526,2639.72,23.48
BA,-8617,562.909,5952,-636,84818,325.76
RHI,1143.683,115.12,620.39,454.433,6074.432,63.15
BRC,850.774,52.997,162.428,131.258,1160.645,57.26
BMY,51598,2251,6738,3439,26145,64.19
CAL,645.95,40.397,127.381,62.819,2921.562,23.75
BC,1300.9,79.569,494.6,-131,4108.4,59.98
MTRN,610.677,20.404,92.309,50.66,1185.424,59.45
MTZ,1787.22,76.565,577.962,392.334,7183.188,64.16
UIS,-1265.4,62.4,249.4,-17.2,2931.2,11.86
RAMP,1087.512,65.857,-172.321,-124.511,380.572,48.07
CI,45338,372.531,9020,5104,153699,204.49
CNA,12215,271.413,1174,1000,10587,44.81
CSX,11848,773.471,4874,3331,11937,72.36
CTS,405.219,32.472,61.4,36.146,468.999,30.01
TLS,-141.136,49.181,5.025,-6.401,159.218,
CBT,998,57.081,351,157,3337,47.52
CACI,2371.331,24.88,392.867,265.604,4986.341,249.99
CAMP,137.919,34.322,-8.234,-79.304,366.107,9.58
CWT,779.906,48.532,115.692,63.116,714.557,51.56
CPB,1103,301,1192,211,8107,49.42
STZ,12131.8,191.128,2699,-11.8,8343.5,189.75
CAH,6328,299,1678,1363,145534,50.58
CSL,2642.8,55.693,673.6,472.8,4811.6,161.84
CRS,1520.1,47.47,231.2,167,2380.2,49.78
CASY,1643.205,36.806,395.467,263.846,8112.296,158.99
CAT,14588,550.083,9624,6093,53800,147.68
CATO,316.514,24.3,37.171,35.897,825.335,17.4
CVCO,607.586,9.173,89.907,75.066,1061.774,195.38
LUMN,13470,1090.058,3780,-5269,22401,13.21
MGLN,1397.783,24.623,95.657,55.902,7159.423,78.25
CMD,661.537,41.771,120.21,55.042,918.155,70.9
CHE,726.608,15.943,271.346,219.923,1938.555,439.26
JPM,234337,3084.021,63197,36431,142422,139.4
CPK,561.577,16.404,104.836,65.153,479.604,95.83
CVX,144213,1882.168,100,2924,139865,120.51
EAT,-778.2,37.5,202.8,154.9,3217.9,42
CHD,2667.8,245.416,850.5,615.9,4357.7,70.34
CHDN,508.3,39.7,233.8,137.5,1329.7,137.2
CBB,-269.4,50.421,92.8,-66.6,1536.7,10.47
CTAS,3235.202,103.415,1196.416,876.037,7085.12,269.08
IHRT,2936.318,64.553,632.428,11296.689,3683.527,16.9
CLF,357.9,270.084,438.5,292.8,1989.9,8.4
CLX,559,125.686,1107,820,6214,153.54
COKE,346.952,9.374,191.331,11.375,4826.549,284.05
KO,18981,4280,10541,8920,37266,55.35
CDE,667.004,241.529,-344.81,-341.203,711.502,8.08
COHR,1284.736,23.982,86.458,53.825,1430.64,166.35
COHU,483.072,41.395,-23.037,-69.7,583.329,22.85
CL,117,854.702,3759,2367,15693,68.84
CCF,271.227,9.401,48.46,32.711,281.351,118.48
AON,3375,232.1,2634,1532,11013,208.29
CMCSA,82726,4553.034,21305,13057,108942,44.97
CMA,7327,142.096,1937,1198,3817,71.75
CBSH,2989.9,112.35,684.994,421.231,1439.114,67.94
C,175262,2114.123,40431,19401,103449,79.89
CMC,1623.861,117.925,392.49,198.093,5829.002,22.27
CAR,656,73.9,785,302,9172,32.24
DXC,4785,253.525,1002,-5369,19577,37.59
CMTL,535.082,24.243,51.798,25.041,671.797,35.49
CAG,7876.1,487.162,1805.6,840.1,11054.4,34.24
SSTK,328.145,35.497,20.155,20.108,650.523,42.88
ED,18022,333,2676,1343,12574,90.47
BH,616.298,0.621,5.616,45.38,668.838,114.42
CTO,285.413,4.77,12.221,114.973,44.941,60.32
CMS,5018,283.864,1239,680,6845,62.84
CLR,6741.667,371.074,1256.877,775.641,4631.947,34.3
CTB,1264.625,50.203,197.448,96.404,2752.639,28.75
COO,3628.4,49.1,586.5,466.7,2653.4,321.29
TAP,13419.4,216.3,1500.9,241.7,10579.4,53.9
GLW,10607,762,1752,960,11503,29.11
CUZ,4357.557,146.762,148.766,150.418,670.181,41.2
CBRL,604.71,24.049,282.844,223.401,3071.951,153.74
CR,1473.7,59.002,493.8,133.3,3283.1,86.38
OMF,4330,136.101,2117,855,4784,42.15
CCK,1713,135.578,1195,510,11665,72.54
CFR,3767.182,62.669,630.637,443.599,1490.987,97.78
CMI,7507,150.5,2505,2260,23571,178.96
CW,1774.372,42.68,403.953,307.583,2487.961,140.89
WEN,516.359,224.889,265.297,136.94,1709.002,22.21
DAN,1873,143.943,624,226,8620,18.2
DHR,28671,695.5,3362.4,3008.2,17911.1,153.48
TGT,11833,504.199,4641,3281,78112,128.21
DE,11413,313.14,5492,3253,39258,173.26
DAL,15358,642.771,6618,4767,47007,58.48
DLX,570.861,42.126,317.467,-199.897,2008.715,49.92
DTE,11672,192.209,1725,1169,12669,129.87
ATGE,1391.53,55.303,215.736,95.168,1239.687,34.97
DBD,-530.3,76.813,140.2,-341.3,4408.7,10.56
DDS,1623.259,24.197,167.492,111.081,6343.211,73.48
DIOD,1106.424,51.207,180.169,153.25,1249.13,56.37
DIS,88877,1802,12009,11054,69570,144.63
DG,6702.5,251.936,2333.304,1712.555,27753.973,155.98
D,29607,838,5593,1358,16572,82.82
DCI,887.3,127.318,394.7,267.2,2851.4,57.62
DOV,3032.66,144.302,1048.662,677.918,7136.397,115.26
DD,40987,738.565,2788,498,21512,64.2
OMC,2853.9,217.1,2122.3,1339.1,14953.7,81.02
DCO,292.8,11.573,59.244,32.461,721.088,50.53
DUK,44860,733,5745,3748,25079,91.21
DNB,1519.9,314.495,-9,-560,1413.9,144.95
FLS,1790.357,130.531,431.529,253.668,3944.85,49.77
DY,868.604,31.584,115.661,57.215,3339.682,47.15
PKI,2813.824,111.14,428.609,227.558,2883.673,97.1
EML,105.437,6.241,21.293,13.266,251.743,30.53
EGP,1200.564,38.926,116.701,121.662,331.516,132.67
ETN,16082,413.3,2889,2211,21390,94.72
ECL,8685.3,288.41,2263.9,1558.9,14906.3,192.99
EMR,8233,611,3120,2306,18372,76.26
ATO,5750.223,119.339,746.058,511.406,2901.848,111.86
EBF,294.329,25.917,50.78,38.292,438.412,21.65
ENZ,86.028,47.557,-27.192,2.489,81.17,2.63
EFX,2578.6,121.2,503.3,-398.8,3527.6,140.12
EQT,9803.588,255.171,201.028,-1221.695,4416.484,10.9
ESCA,126.17,14.215,9.275,7.258,180.541,9.83
NEU,683.098,11.189,337.321,254.286,2190.295,486.52
EXPD,2195.028,169.622,766.692,590.395,8175.426,78.02
BOOM,172.141,14.653,78.558,34.041,397.55,44.94
IIIN,246.017,19.261,4.864,5.598,455.713,21.49
XOM,191650,4234,12766,14340,255583,69.78
FMC,2532.3,129.124,1070.4,477.4,4609.8,99.82
NEE,37005,489,5622,3769,19204,242.16
FARM,157.479,17.042,-3.381,-73.595,595.942,15.06
FDX,18295,261.572,3122,1286,69217,151.21
FRT,2375.344,75.541,353.772,353.866,935.042,128.73
FSS,641.6,60.5,150.4,108.5,1221.3,32.25
M,6377,309.031,931,564,25331,17
FOE,360.376,82.005,114.244,6.038,1018.366,14.83
FITB,19433,708.916,3888,2512,8900,30.74
RF,14985,957.246,2912,1582,6755,17.16
TRMK,1660.702,64.2,265.776,150.46,697.537,34.51
FCNCA,3586.184,10.629,673.018,457.371,1819.872,532.21
MTB,14466.649,130.568,3489.752,1929.149,6941.272,169.75
USB,45869,1534.155,12143,6914,27325,59.29
FHN,4684.953,311.469,972.968,440.908,2278.362,16.56
FLO,1263.43,211.514,277.714,164.538,4123.974,21.74
FLR,1487.752,140.174,-586.47,-1522.164,14348.018,18.88
F,33185,3964.93,5767,47,155900,9.3
FSTR,169.862,10.422,26.809,42.568,655.057,19.38
FELE,796.545,46.391,129.852,95.483,1314.578,57.32
BEN,9906.5,499.303,1589.4,1195.7,5774.5,25.98
FUL,1222.347,51.241,269.445,130.817,2897,51.57
GATX,1835.1,34.833,315.5,211.2,1393.8,82.85
AJG,5155.5,188.122,901.8,668.8,7195,95.23
TGNA,1590.377,217.464,596.883,286.235,2299.497,16.69
GPS,3316,371,1041,351,16383,17.68
AJRD,576.7,77.3,240.7,141,1981.5,45.66
GD,13577,289.61,4648,3484,39350,176.35
GE,28310,8738.434,8799,-4979,95214,11.16
GIS,8058.5,609.8,3024.9,2181.2,17626.6,53.56
ALLY,14416,374.332,3610,1715,11556,30.56
GM,41792,1400,9570,6732,137237,36.6
SPXC,502.4,44.203,118.5,70.9,1525.4,50.88
GCO,618.334,14.697,94.055,61.384,2197.066,47.92
GNTX,1938.088,251.278,488.537,424.684,1858.897,28.98
GPC,3674.707,145.378,1132.602,621.085,19392.305,106.23
GTY,589.439,41.368,71.615,49.723,140.675,32.87
GLT,555.959,44.248,50.066,-21.541,927.673,18.3
GT,4351,232.65,824,-311,14745,15.555
GRC,307.878,26.068,43.84,35.815,398.179,37.5
GRA,395.7,66.736,433.8,126.3,1958.1,69.85
GGG,1024.931,167.287,424.456,343.853,1646.045,52
GHM,96.724,9.881,1.269,1.872,90.604,21.88
GWW,1855,53.688,1388,849,11486,338.52
GTN,1464,99.54,503,179,2122,21.44
GEF,1133.1,48.266,452.5,171,4595,44.2
HAL,8012,878,2058,-1131,22408,24.47
LHX,3363,118.553,1157,949,6801,197.87
HSC,741.58,78.515,116.858,503.919,1503.742,23.01
HAS,2995.53,136.863,669.828,520.454,4720.227,105.61
AMOT,119.194,9.599,29.556,17.022,371.084,48.5
HVT,260.503,19.113,27.021,21.865,802.37,20.16
HE,2280.26,108.973,337.912,219.772,2874.601,46.86
HWKN,233.484,10.512,42.271,28.367,540.198,45.81
HCSG,460.305,74.149,87.379,64.581,1840.778,24.32
WELL,15540.444,410.257,1273.253,1232.432,5163.74,81.78
STRL,219.918,27.772,53.899,39.901,1126.278,14.08
HL,1692.384,522.896,-36.727,-99.557,673.266,3.39
HEI,1666.542,134.496,459.727,327.896,2055.647,114.15
KHC,51623,1221,5090,1935,24977,32.13
HELE,1161.723,25.194,225.11,152.333,1707.432,179.79
HP,4012.223,108.438,-12.269,-33.656,2787.33,45.43
HSY,1739.222,208.829,1716.582,1149.692,7986.252,146.98
HPQ,-1193,1457.719,4187,3152,58756,20.55
HXL,1446.1,83.6,425.2,306.6,2355.7,73.31
HRC,1573.3,66.625,380.2,152.2,2912.6,113.53
HLT,-482,278.985,1579,881,9452,110.91
HFC,5978.193,161.847,1463.288,772.388,17486.578,50.71
HD,-3116,1077,15843,11242,110225,218.38
HNI,584.044,42.595,153.913,110.505,2246.947,37.46
HRL,5921.458,534.489,1140.595,978.806,9497.317,45.11
CNP,6619,502.242,1477,791,12301,27.27
UBA,354.724,39.857,55.331,37.28,139.229,24.84
HUBB,1947.1,54.514,633.6,400.9,4591,147.82
JBHT,2267.029,106.213,814.482,516.32,9165.258,116.78
HBAN,10592,1020.003,2003,1411,5640,15.08
HURC,240.245,6.767,22.54,17.495,263.377,38.36
BVH,549.795,91.488,944.422,17.691,984.776,4.77
ITT,2074.9,87.8,433.8,325.1,2846.4,73.91
RYN,1439.981,129.331,111.56,59.105,711.556,32.76
IDA,2464.628,50.398,298.326,232.854,1346.383,106.8
ITW,3026,319.8,3402,2521,14109,179.63
TT,7267.6,238.305,2235.5,1410.9,16598.9,132.92
RYI,172.6,37.784,191.1,82.4,4501.6,11.83
GFF,477.763,46.806,133.619,37.287,2209.289,20.33
INTC,77504,4290,22428,21048,71965,59.85
INS,37.289,8.925,13.382,10.969,34.303,39.94
TILE,368.202,58.416,143.85,79.2,1343.029,16.59
IBM,20841,887.11,10849,9431,77147,134.04
IFF,6217.304,106.787,784.131,455.873,5140.084,129.02
NAV,-3728,99.2,884,221,11251,28.94
IDCC,761.557,30.701,51.735,20.928,324.424,54.49
IP,7713,392.116,2545,1225,22376,46.05
IPG,2775.9,387,1119.9,656,10221.3,23.1
IVC,308.516,33.662,2.006,-53.327,927.964,9.02
J,5714.691,132.879,760.086,847.184,12737.868,89.83
EME,2057.134,56.22,462.415,325.14,9174.611,86.3
JNJ,59471,2632.507,21121,15119,82059,145.87
JCI,19766,777.631,1223,5674,23968,40.71
KLAC,2659.108,159.475,1429.573,1175.617,4568.904,178.17
KMI,33742,2264.936,3928,2190,13209,21.17
KAMN,823.202,27.839,63.618,209.829,761.608,65.92
KSU,4416.9,96.116,1050.1,538.9,2866,153.16
EVRG,8571.9,226.641,1217.7,669.9,5147.8,65.09
K,2747,341.543,1757,960,13578,69.16
KELYA,1264.5,39.1,90.8,112.4,5355.6,22.58
KMT,1335.172,82.421,345.7,241.925,2375.234,36.89
KBAL,216.49,36.812,52.958,39.344,768.07,20.67
KMB,-33,341.448,3296,2157,18450,137.55
KEX,3368.623,59.959,239.074,142.347,2838.399,89.53
KR,8602,788,2646,1659,122286,28.99
LYTS,119.937,25.967,4.028,-16.339,328.852,6.05
LZB,700.753,45.857,141.265,77.469,1703.982,31.48
SR,2301,50.974,302.7,184.6,1952.4,83.31
LRCX,4673.865,144.433,2483.25,2191.43,9653.559,292.4
LANC,726.873,27.491,176.387,150.549,1307.787,160.1
LAWS,108.001,9.044,9.066,7.221,370.785,52.1
LEG,1312,131.8,523,333.8,4752.5,50.83
LEN,15949.517,315.893,2461.181,1849.052,22259.561,55.79
JEF,9579.705,291.644,1551.311,964.696,5081.497,21.37
LLY,2606.9,907.526,5874.1,8318.4,22319.5,131.43
LB,-1499,277,978,-366,12914,18.12
LECO,818.172,60.592,390.91,293.109,3003.272,96.73
LNC,19689,196.669,1419,886,17236,59.01
LMT,3127,280,8427,6230,59812,389.38
L,19119,290.97,1510,932,14701,52.49
RRC,2347.488,249.631,-1985.08,-1716.297,2826.478,4.85
LPX,991,111.945,73,-5,2310,29.67
LOW,1972,763,6314,4281,72148,119.76
LDL,318.42,17.623,31.806,-70.513,837.398,20.52
MDC,1782.485,62.575,284.331,238.312,3293.253,38.16
MDU,2847.246,200.384,481.875,335.453,5336.776,29.71
MGEE,855.676,34.668,110.91,86.874,568.855,78.82
MTW,645.9,35.375,112.4,46.6,1834.1,17.5
MRO,12153,796,437,480,4991,13.58
MCS,621.435,30.947,71.348,42.017,820.863,31.77
HST,7319,713.4,840,920,5515,18.55
MMC,7793,503.629,3342,1742,16652,111.41
MAS,-235,275.6,1110,933,6707,47.99
MAT,491.714,346.8,136.127,-213.512,4510.371,13.55
MLP,22.692,19.238,-0.796,-10.366,10.045,11.25
MKC,3444.2,132.9,978.5,704.6,5347.4,169.73
MCD,-8210.3,746.3,8885.9,6025.4,21076.5,197.61
MGRC,634.036,24.296,141.372,96.806,570.23,76.54
SPGI,479,244,3227,2123,6699,273.05
MCK,5092,162,3210,900,231051,138.32
GENC,155.515,14.586,9.47,10.196,81.329,11.67
MDT,50737,1341.075,5724,4789,28913,113.45
CVS,63864,1302,12702,6634,256776,74.29
MRK,25907,2539.017,14526,9843,46840,90.95
MDP,974.6,45.2,424.4,46.3,3188.5,32.47
MLAB,220.013,4.387,18.215,1.349,117.687,249.4
MEI,783.4,37.091,147.1,123.4,1023.9,39.35
EVI,77.262,11.753,7.252,3.743,228.318,27.04
SIEB,20.781,27.157,4.801,3.607,28.593,8.65
MU,35881,1106,7425,6313,23406,53.78
ETR,10223.675,199.149,1680.524,1258.244,10878.673,119.8
MSEX,323.792,17.434,35.52,33.888,134.598,63.57
MLHR,643,58.793,206.2,-9.1,2486.6,41.65
MSA,722.231,38.841,224.29,136.44,1401.981,126.36
MMM,10063,575.185,7068,4570,32136,176.42
ALE,2231.9,51.679,179.8,185.6,1240.5,81.17
MOD,487.9,50.9,97.1,-2.2,1975.5,7.7
MNR,663.365,96.399,91.392,29.8,173.69,14.48
QDEL,559.82,41.868,105.85,72.921,534.89,75.03
MSI,-700,170.5,1650,868,7887,161.14
MUR,5467.46,152.935,470.612,1149.732,2816.255,26.8
MYE,166.682,35.711,38.006,24.333,515.698,16.68
VTRS,11883.8,516.149,1578.2,16.8,11500.5,20.1
BAC,241409,8836.149,47360,27430,113589,35.22
NCR,1104,127.7,672,564,6915,35.16
NL,304.506,48.756,5.075,25.844,124.243,3.91
NSSC,71.172,18.478,13.466,12.223,102.932,29.39
NATH,-66.401,4.141,27.172,13.435,103.325,70.88
NFG,2139.025,86.315,511.809,304.29,1693.332,46.54
NHC,778.593,15.332,52.173,68.211,996.383,86.43
THC,-371,104.197,1679,-232,18479,38.03
GPX,209.914,17.033,19,15.189,583.29,13.23
NPK,367.957,7.007,46.38,42.22,308.51,88.39
NATR,129.209,19.41,18.5,6.765,362.215,8.93
NJR,1551.717,89.999,153.935,169.505,2592.045,44.57
NYT,1172.003,166.175,181.524,139.966,1812.184,32.17
NWL,4963.3,423.5,844.4,106.6,9714.9,19.22
NEM,21420,808,1541,2805,9740,43.45
NR,548.645,89.738,29.087,-12.946,820.119,6.27
NKE,8055,1558,3115,2539,37403,101.31
NDSN,1581.045,57.6,486.291,337.091,2194.226,162.84
JWN,979,155.6,816,496,15524,40.93
NSC,15184,257.905,3957,2722,11296,194.13
NC,289.392,6.966,-25.269,39.632,140.99,46.83
MOV,526.537,23.02,42.868,42.699,700.966,21.74
ES,12629.994,329.881,1830.135,909.053,8526.47,85.07
NI,5106.7,382.136,1071.6,383.1,5208.9,27.84
XEL,13239,524.539,2104,1372,11529,63.49
NTRS,9817.6,209.709,3201.6,1492.2,6895.1,106.24
NOC,8819,167.848,3969,2248,33841,343.97
TEX,932.3,70.4,364.9,54.4,4353.1,29.78
NWN,865.999,30.472,143.474,61.735,746.372,73.73
NWE,2039.094,50.452,276.85,202.12,1257.91,71.67
WFC,166740,4134.426,33047,19549,102453,53.8
NUE,10357.866,301.812,1899.121,1271.143,22588.858,56.28
OXY,24470,894.112,3913,-667,20393,41.21
OII,1069.346,98.931,-116.647,-348.444,2048.124,14.91
ITI,63.127,40.713,-4.287,-5.61,114.117,4.99
VTOL,426.485,11.236,10.015,-697.186,1242.986,0.0086
FE,6975,540.652,2510,912,11035,48.6
ODC,135.56,7.61,10.412,12.611,277.025,36.25
OGE,4139.5,200.1,504.3,433.6,2231.6,44.47
OLN,2417.5,157.7,249.1,-11.3,6110,17.25
OLP,290.763,19.251,35.87,18.011,84.76,27.19
OKE,6225.951,413.239,1916.928,1278.577,10164.367,75.67
OTTR,781.482,40.158,134.88,86.847,919.503,51.29
OSG,341.545,85.714,34.258,8.675,355.547,2.3
OMI,462.154,62.843,105.426,-62.371,9210.939,5.17
OC,4631,109,839,405,7160,65.12
OI,467,155.874,675,-400,6703,11.93
OXM,528.598,17.04,97.06,68.493,1137.647,75.42
PNC,45321,433,8048,5369,21624,159.63
PPG,5284,235.68,1954,1243,15154,133.49
PCAR,9706.1,346.3,3205.4,2387.9,25599.7,79.1
PCG,5136,529.237,2879,-7642,17129,10.87
SRE,17671,291.713,2627,2198,10829,151.48
PAR,72.847,16.629,-10.764,-15.571,187.232,30.74
PKE,141.675,20.519,10.741,9.552,60.014,16.27
PKOH,335.6,12.666,91.1,38.6,1618.3,33.65
PH,5961.969,128.48,2117.877,1512.364,14320.324,205.82
PATK,497.481,23.754,152.042,89.566,2337.082,52.43
GDP,84.165,12.533,11.206,13.288,118.35,10.04
PAYX,2781.4,358.8,1460.5,1098.1,4040.5,85.06
AFG,6269,90.304,1130,897,8083,109.65
PVAC,520.745,15.136,177.616,70.589,471.211,30.35
PPL,12991,767.233,2845,1746,7769,35.88
PNR,1953.9,168.293,481.1,355.7,2957.2,45.87
PEP,14786,1391,10714,7314,67161,136.67
TPC,1440.142,50.279,143.864,-387.69,4450.832,12.86
PDCE,2335.507,61.617,56.076,-56.672,1156.123,26.17
PFE,63126,5534,14247,16273,51750,39.18
EXC,32224,972.584,4690,2936,34438,45.59
WTRG,3880.86,220.759,382.483,224.543,889.692,46.94
MO,6222,1857.982,10533,-1293,19796,49.91
COP,34981,1084.868,6330,7189,32567,65.03
PVH,5811.5,72.293,856.9,417.3,9909,105.15
SENEA,393.683,9.118,64.917,52.307,1335.769,40.79
AGYS,71.757,23.609,-9.864,-34.067,160.757,25.41
PIPR,731.283,13.717,145.147,111.711,846.299,79.94
PBI,286.096,170.449,227.739,194.609,3205.125,4.03
POLY,-82.816,40.408,-28.639,-827.182,1696.99,27.34
PCH,1226.831,67.221,87.107,55.661,827.098,43.27
POWL,299.153,11.567,10.522,9.89,517.18,48.99
PG,47412,2504.751,14566,3897,67684,124.9
PNM,1678.698,79.654,146.29,77.89,1457.603,50.71
PEG,15089,504,1959,1693,10076,59.05
PHM,5458.18,270.235,1348.353,1016.7,10212.957,38.8
PCYO,74.731,23.827,2.998,4.811,20.362,12.59
AGX,339.249,15.635,-50.945,-42.689,238.997,40.14
KWR,1240.762,17.735,120.387,31.622,1133.503,164.52
NXGN,400.494,66.134,21.35,7.498,540.239,16.07
QMCO,-198.525,39.905,35.094,-5.21,402.949,7.42
RJF,6581,137.842,1544,1034,8023,89.46
RES,830.333,214.423,-35.722,-87.111,1222.409,5.24
RPM,1262.445,129.511,572.321,304.385,5506.994,76.76
USLM,217.132,5.623,29.246,26.056,158.277,90.3
RAVN,314.646,35.771,40.351,35.196,382.53,34.46
RBC,2351.1,40.8,338.1,238.9,3238,85.61
RGS,324.245,36.869,3.12,-14.226,1069.039,17.87
AN,3162.1,89.349,798.5,450,21335.7,48.63
RAD,674.527,54.716,205.049,-452.174,21928.393,15.47
RGCO,83.096,8.073,11.596,8.698,68.027,28.58
ROK,404.2,115.7,1361.6,695.8,6694.8,202.67
ROG,933.9,18.577,115.225,47.319,898.26,124.73
ROL,815.75,327.431,320.098,203.347,2015.477,33.16
ROST,3359.249,356.775,2146.182,1660.928,16039.073,116.42
RGLD,2136.681,65.44,140.707,93.825,423.056,122.25
R,2476.31,53.278,341.148,-24.41,8925.801,54.31
SEIC,1738.778,149.745,460.992,501.426,1649.885,65.48
SJW,889.984,28.457,73.247,23.403,420.482,71.06
SFE,101.741,20.643,-9.982,54.561,0,10.98
SLB,23760,1384.515,3006,-10137,32917,40.2
SCHL,1179.2,34.186,-31.4,-43.8,1487.1,38.45
SEB,3544,1.165,104,283,6840,4250.55
APPS,77.354,87.307,13.212,13.9,138.715,7.13
SEE,-196.2,154.513,743,263,4791.1,39.83
IIN,90.745,8.781,1.725,-3.777,113.493,18
SMTC,676.954,65.758,51.521,31.871,547.512,52.9
SCI,1823.313,181.185,637.352,369.596,3230.785,46.03
SHEN,469.422,49.671,97.046,54.935,633.906,41.61
SHW,4123.3,92.145,2448.4,1541.3,17900.8,583.54
AOS,1666.8,162.372,465.1,370,2992.7,47.64
SJM,8190.9,114.073,1304.4,779.5,7801,104.13
SNA,3409.1,54.65,950.7,693.5,4067.7,169.4
KEY,15138,977.189,3157,1717,7694,20.24
SON,1802.682,100.198,535.391,291.785,5374.207,61.72
SJI,1423.785,92.394,211.95,76.917,1628.626,32.98
EIX,13303,361.985,2145,1405,12347,75.41
AWR,601.53,36.847,126.82,84.342,473.869,86.64
SO,27505,1053,5359,4754,21419,63.7
LUV,9832,519.064,3081,2300,22428,53.98
SWX,2505.914,55.007,371.811,213.936,3119.917,75.97
T,184221,7254.555,31069,13903,181265,39.08
SWN,3246,541.203,303,891,3038,2.42
SHYF,172.265,35.343,51.227,-12.566,756.542,18.08
STAA,159.884,44.822,11.852,14.048,150.185,35.17
SMP,504.228,22.458,97.085,57.917,1137.913,53.22
SXI,464.313,12.335,83.327,67.914,791.579,79.35
SWK,7636.3,153.506,1756.3,955.8,14442.2,165.74
STT,21469,357.389,5767,2242,13131,79.1
SCL,891.783,22.514,125.339,103.129,1858.745,102.44
STC,747.306,23.709,93.046,78.615,1889.708,40.79
PSA,4997.911,174.419,1563.122,1520.534,2944.806,212.96
SYK,12807,374.5,3444,2083,14884,209.94
NAVI,3336,215.437,4173,597,5462,13.68
RGR,285.458,17.451,40.127,32.291,411.204,47.03
SGC,157.554,15.228,19.285,12.066,376.701,13.54
SYY,2502.603,512.877,2656.752,1674.271,60113.922,85.54
TISI,436.67,30.519,11.83,-32.417,1163.314,15.97
TRC,430.249,26.097,-1.431,10.58,49.523,15.98
ATI,2090.1,126.085,370.6,257.6,4122.5,20.66
TFX,2979.32,46.354,501.952,461.466,2595.362,376.44
