tic,equity,shares,ebit,net_income,sale,price
CORE,591.9,45.114,95.6,57.7,13329.2,27.19
DXCM,882.6,91.6,149.8,101.1,1476,218.74
MNOV,74.895,43.908,-14.031,-12.942,0,6.74
INFO,8415.8,398.3,986.6,502.7,4414.6,75.35
RLGT,127.034,49.586,23.501,16.346,890.517,5.57
ZUMZ,466.086,25.828,85.807,66.881,1034.129,34.54
BLDR,824.953,116.052,405.406,221.809,7280.431,25.41
CTRN,171.044,10.834,18.962,16.503,781.925,23.12
KOP,147.3,20.805,136.8,66.6,1772.8,38.22
ICE,17255,554,2727,1933,6547,92.55
EVRI,53.988,84.497,100.963,16.517,533.227,13.43
EGLE,481.503,71.502,4.578,-21.697,292.378,4.6
CPS,856.175,16.843,40.75,67.529,3108.4,33.16
GTT,291.1,56.686,159.3,-105.9,1727.8,11.35
FSP,786.396,107.269,43.501,6.475,269.065,8.56
ATRC,247.343,39.655,-34.06,-35.194,230.807,32.51
RUTH,94.145,28.347,52.461,42.206,468.026,21.765
WAL,3016.748,102.524,756.769,499.171,1290.14,57
JRVR,778.581,30.424,57.865,38.339,902.527,41.21
GNK,978.428,41.754,-0.842,-55.985,389.496,10.62
CF,2897,216.024,926,493,4590,47.74
CXP,2623.14,115.281,10.225,9.197,297.014,20.91
CTSO,3.418,32.616,-18.974,-19.266,24.949,3.85
THS,1830.9,56.2,263.3,-361,4288.9,48.5
CMPR,131.812,30.446,184.911,95.052,2751.076,125.77
OFLX,37.382,10.094,21.922,17.286,111.36,107.29
RPAI,1632.477,213.6,92.683,32.397,481.686,13.4
DISCA,9891,530,3187,2049,11144,32.74
TROX,748,141.9,282,-109,2642,11.42
ISBC,2621.95,247.44,380.609,195.484,1093.632,11.915
WSBF,393.686,27.148,68.835,35.903,210.491,19.03
OPBK,140.576,15.703,26.451,16.757,70.205,10.37
IRBT,652.069,28.352,87.084,85.3,1214.01,50.63
SPR,1761.4,104.882,793.1,530.1,7863.1,72.88
ACCO,773.7,96.445,211.4,106.8,1955.7,9.36
ROLL,1117.999,25.042,157.031,126.036,727.461,158.34
AMSF,430.215,19.303,115.517,92.69,370.37,66.03
HOMB,2511.531,166.373,452.352,289.539,817.504,19.66
