PERMNO,date,TICKER,RET
90353,20201030,BECN,-0.011909
90353,20201130,BECN,0.185342
90353,20201231,BECN,0.104424
90358,20200131,SFST,-0.080960
90358,20200228,SFST,-0.023816
90358,20200331,SFST,-0.255771
90358,20200430,SFST,0.027846
90358,20200529,SFST,-0.003429
90358,20200630,SFST,-0.046456
90358,20200731,SFST,-0.119451
90358,20200831,SFST,0.061475
90358,20200930,SFST,-0.067568
90358,20201030,SFST,0.111387
90358,20201130,SFST,0.188525
90358,20201231,SFST,0.108150
90373,20200131,DLR,0.027142
90373,20200228,DLR,-0.023417
90373,20200331,DLR,0.165848
90373,20200430,DLR,0.076164
90373,20200529,DLR,-0.039668
90373,20200630,DLR,-0.002299
90373,20200731,DLR,0.129688
90373,20200831,DLR,-0.030460
90373,20200930,DLR,-0.049920
90373,20201030,DLR,-0.016762
90373,20201130,DLR,-0.066182
90373,20201231,DLR,0.043636
90377,20200131,ONTO,0.038314
90377,20200228,ONTO,-0.194254
90377,20200331,ONTO,-0.029441
90377,20200430,ONTO,0.094034
90377,20200529,ONTO,-0.042514
90377,20200630,ONTO,0.095238
90377,20200731,ONTO,0.111046
90377,20200831,ONTO,-0.173982
90377,20200930,ONTO,-0.046735
90377,20201030,ONTO,0.076897
90377,20201130,ONTO,0.378547
90377,20201231,ONTO,0.075549
90386,20200131,MOS,-0.083179
90386,20200228,MOS,-0.141633
90386,20200331,MOS,-0.361715
90386,20200430,MOS,0.063771
90386,20200529,MOS,0.050391
90386,20200630,MOS,0.038875
90386,20200731,MOS,0.076739
90386,20200831,MOS,0.353378
90386,20200930,MOS,0.004937
90386,20201030,MOS,0.012589
90386,20201130,MOS,0.187027
90386,20201231,MOS,0.050091
90394,20200131,SHO,-0.089080
90394,20200228,SHO,-0.136435
90394,20200331,SHO,-0.200000
90394,20200430,SHO,0.055109
90394,20200529,SHO,-0.036997
90394,20200630,SHO,-0.079096
90394,20200731,SHO,-0.082209
90394,20200831,SHO,0.113636
90394,20200930,SHO,-0.046819
90394,20201030,SHO,-0.065491
90394,20201130,SHO,0.415094
90394,20201231,SHO,0.079048
90396,20200131,CUBE,0.006036
90396,20200228,CUBE,-0.044206
90396,20200331,CUBE,-0.104063
90396,20200430,CUBE,-0.059351
90396,20200529,CUBE,0.129365
90396,20200630,CUBE,-0.040056
90396,20200731,CUBE,0.099296
90396,20200831,CUBE,0.065723
90396,20200930,CUBE,0.032258
90396,20201030,CUBE,0.050139
90396,20201130,CUBE,-0.041261
90396,20201231,CUBE,0.043652
90400,20200131,ADES,0.084762
90400,20200228,ADES,-0.197542
90400,20200331,ADES,-0.260967
90400,20200430,ADES,0.130898
90400,20200529,ADES,-0.321669
90400,20200630,ADES,-0.037698
90400,20200731,ADES,-0.142268
90400,20200831,ADES,-0.069712
90400,20200930,ADES,0.049096
90400,20201030,ADES,0.096059
90400,20201130,ADES,0.269663
90400,20201231,ADES,-0.026549
90409,20200131,HURN,-0.056898
90409,20200228,HURN,-0.084401
90409,20200331,HURN,-0.235592
90409,20200430,HURN,0.235450
90409,20200529,HURN,-0.174518
90409,20200630,HURN,-0.043450
90409,20200731,HURN,0.078418
90409,20200831,HURN,-0.090947
90409,20200930,HURN,-0.093361
90409,20201030,HURN,-0.037376
90409,20201130,HURN,0.164025
90409,20201231,HURN,0.337645
90423,20200131,INVA,-0.025071
90423,20200228,INVA,-0.024267
90423,20200331,INVA,-0.126949
90423,20200430,INVA,0.205782
90423,20200529,INVA,-0.014810
90423,20200630,INVA,0.000716
90423,20200731,INVA,-0.031116
90423,20200831,INVA,-0.135474
90423,20200930,INVA,-0.107600
90423,20201030,INVA,0.034450
90423,20201130,INVA,-0.032840
90423,20201231,INVA,0.185079
90427,20200131,TXRH,0.109730
90427,20200228,TXRH,-0.100480
90427,20200331,TXRH,-0.258983
90427,20200430,TXRH,0.140194
90427,20200529,TXRH,0.101083
90427,20200630,TXRH,0.013886
90427,20200731,TXRH,0.068861
90427,20200831,TXRH,0.121018
90427,20200930,TXRH,-0.034926
90427,20201030,TXRH,0.151999
90427,20201130,TXRH,0.082393
90427,20201231,TXRH,0.031135
90436,20200131,HALO,0.070502
90436,20200228,HALO,0.031085
90436,20200331,HALO,-0.080736
90436,20200430,HALO,0.259311
90436,20200529,HALO,0.071287
90436,20200630,HALO,0.104656
90436,20200731,HALO,0.014174
90436,20200831,HALO,0.066385
90436,20200930,HALO,-0.093637
90436,20201030,HALO,0.065449
90436,20201130,HALO,0.396429
90436,20201231,HALO,0.092327
90440,20200131,NP,-0.053812
90440,20200228,NP,-0.126050
90440,20200331,NP,-0.253419
90440,20200430,NP,0.132854
90440,20200529,NP,0.044413
90440,20200630,NP,-0.021756
90440,20200731,NP,-0.098059
90440,20200831,NP,0.003138
90440,20200930,NP,-0.153794
90440,20201030,NP,0.004270
90440,20201130,NP,0.301621
90440,20201231,NP,0.140383
90444,20200131,ORA,0.063607
90444,20200228,ORA,-0.120868
90444,20200331,ORA,-0.027411
90444,20200430,ORA,-0.077594
90444,20200529,ORA,0.168402
90444,20200630,ORA,-0.128004
90444,20200731,ORA,-0.062845
90444,20200831,ORA,0.024874
90444,20200930,ORA,-0.028914
90444,20201030,ORA,0.198951
90444,20201130,ORA,0.113588
90444,20201231,ORA,0.145540
90454,20200131,MKTX,-0.065759
90454,20200228,MKTX,-0.082585
90454,20200331,MKTX,0.025406
90454,20200430,MKTX,0.368163
90454,20200529,MKTX,0.119074
90454,20200630,MKTX,-0.015081
90454,20200731,MKTX,0.031502
90454,20200831,MKTX,-0.058370
90454,20200930,MKTX,-0.008952
90454,20201030,MKTX,0.118898
90454,20201130,MKTX,0.001726
90454,20201231,MKTX,0.058199
90455,20200131,MPWR,-0.038479
90455,20200228,MPWR,-0.073202
90455,20200331,MPWR,0.058749
90455,20200430,MPWR,0.193778
90455,20200529,MPWR,0.049222
90455,20200630,MPWR,0.132300
90455,20200731,MPWR,0.118186
90455,20200831,MPWR,0.008000
90455,20200930,MPWR,0.048590
90455,20201030,MPWR,0.143021
90455,20201130,MPWR,0.001126
90455,20201231,MPWR,0.146175
90458,20200131,NWE,0.073950
90458,20200228,NWE,-0.086138
90458,20200331,NWE,-0.140887
90458,20200430,NWE,-0.035768
90458,20200529,NWE,0.042122
90458,20200630,NWE,-0.083167
90458,20200731,NWE,0.031915
