gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
011455,20191231,2019,INDL,C,D,STD,WEYS,USD,209.9940,9.8730,27.0400,20.8820,304.0110,A,26.4500
011456,20191231,2019,INDL,C,D,STD,WY,USD,8177.0000,745.3000,704.0000,-76.0000,6554.0000,A,30.2000
011465,20191231,2019,INDL,C,D,STD,WHR,USD,3195.0000,62.8940,1367.0000,1184.0000,20419.0000,A,147.5300
011506,20191231,2019,INDL,C,D,STD,WMB,USD,13328.0000,1212.0000,2405.0000,850.0000,8201.0000,A,23.7200
011511,20200131,2019,INDL,C,D,STD,WSM,USD,1235.8600,77.1370,465.8740,356.0620,5898.0080,A,73.4400
011537,20190831,2019,INDL,C,D,STD,WGO,USD,632.2120,31.5140,157.2100,111.7980,1985.6740,A,52.9800
011550,20191231,2019,INDL,C,D,STD,WEC,USD,10113.4000,315.4350,1531.4000,1135.2000,7523.1000,A,92.2300
011554,20191231,2019,INDL,C,D,STD,LNT,USD,5205.1000,245.0230,777.7000,567.4000,3647.7000,A,54.7200
011566,20191231,2019,INDL,C,D,STD,WWW,USD,766.7000,81.1480,123.6000,128.5000,2273.7000,A,33.7400
011580,20190930,2019,INDL,C,D,STD,WWD,USD,1726.7410,61.7090,398.0210,259.6020,2900.1970,A,118.4400
011584,20200131,2019,INDL,C,D,STD,FL,USD,2473.0000,104.1880,714.0000,491.0000,8005.0000,A,38.9900
011600,20200531,2019,INDL,C,D,STD,WOR,USD,820.8210,54.6160,104.7270,78.7960,3047.5190,A,42.1800
011636,20191231,2019,INDL,C,D,STD,XRX,USD,5587.0000,212.5900,1278.0000,1353.0000,9066.0000,A,36.8700
011657,20191231,2019,INDL,C,D,STD,YORW,USD,134.1850,13.0150,23.7860,14.4020,51.5780,A,46.1100
011670,20190930,2019,INDL,C,D,STD,SPB,USD,1698.3000,48.8000,311.8000,471.9000,3802.1000,A,64.2900
011672,20200131,2019,INDL,C,D,STD,TJX,USD,5948.2120,1199.1000,4416.2090,3272.1930,41716.9770,A,61.0600
