tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
CASY,387.25,3943.892,1063.428,2300.687,1643.205,5572.7965,158.99,36.806,44.645,3344.944,37.153,78.275,63.167,8112.296,5967.612,236.007,395.467,646.641,59.537,-676.178,263.846
CAT,39193,78453,26621,63824,14629,81236.2574,147.68,550.083,26.5196,13528,102.3,8284,17904,53800,34744,11266,9624,12201,1175,12572,6093
CATO,362.797,684.976,199.302,368.462,316.514,389.772,17.4,24.3,13.0253,289.47,10.06,11.824,26.088,825.335,508.906,115.365,37.171,52.656,0.029,163.495,35.897
CVCO,516.185,810.431,172.102,202.845,607.586,1329.5346,195.38,9.173,66.2363,91.084,5,241.826,90.599,1061.774,823.373,113.535,89.907,95.69,1.495,344.083,75.066
LUMN,4768,64742,7258,51272,13470,14399.6662,13.21,1090.058,12.3571,27765,42.5,1690,2336,22401,10077,105,3780,8609,2093,-2490,-5269
MGLN,1673.043,3092.173,910.147,1694.39,1397.783,1926.7498,78.25,24.623,56.7674,188.882,10.1,325.249,892.296,7159.423,6932.257,44.962,95.657,227.166,36.153,762.896,55.902
CMD,351.796,1070.366,151.4,408.829,661.537,3854.6279,70.9,41.771,15.8372,185.242,2.775,44.535,148.107,918.155,445.562,138.234,120.21,162.569,9.505,200.396,55.042
CHE,190.671,1268.317,262.22,541.709,726.608,7003.1222,439.26,15.943,45.5754,287.415,16.641,6.158,143.827,1938.555,1321.126,7.462,271.346,316.551,4.535,-71.549,219.923
JPM,,2687379,,2426049,261330,429912.5274,139.4,3084.021,75.9842,25813,256.981,21704,939582,142422,32380,7451,63197,71565,,,36431
CPK,134.826,1783.198,423.324,1221.621,561.577,1571.9953,95.83,16.404,34.2342,1475.36,0.955,6.985,70.408,479.604,329.345,15.432,104.836,150.259,22.924,-288.498,65.153
