tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
HRI,399.7,3817,323.1,3172.7,644.3,1409.472,48.94,28.8,22.3715,3009.1,5.1,33,306.7,1999,986.6,0,248.2,718.3,119.9,76.6,47.5
TRHC,94.538,492.391,40.003,306.843,185.548,1086.5863,48.68,22.321,8.3127,37.898,1.286,42.478,35.288,284.707,181.355,3.7,-23.633,10.643,15.986,54.535,-32.436
GCP,648.3,1302.1,212.8,761,541.1,1654.4235,22.71,72.85,7.3946,274.6,2,325,214,1013.5,587.2,95.9,91.7,134.9,22.7,435.5,46.3
TCMD,108.335,151.752,21.428,39.157,112.595,1293.019,67.51,19.153,5.8787,23.293,0.629,22.77,41.591,189.492,51.718,19.059,11.646,15.184,,86.907,10.971
EDIT,463.844,508.885,59.963,246.448,262.437,1609.4812,29.61,54.356,4.8281,39.648,0.208,238.183,2.218,20.531,158.623,0,-140.922,-138.092,,403.881,-133.746
RETA,669.276,682.42,192.014,425.563,256.857,6786.4627,204.43,33.197,7.7374,12.064,0.22,664.324,0,26.517,186.407,0,-160.822,-159.89,11.197,477.262,-290.17
ATKR,699.537,1436.995,287.534,1204.059,232.936,1425.0843,40.46,46.955,4.9608,260.703,3.9,123.415,315.353,1916.538,1379.867,226.09,228.608,300.955,50.473,412.003,139.051
EIGR,100.384,105.139,16.949,48.659,56.48,365.3927,14.9,24.523,2.3031,2.244,0.024,39.373,0,0,0,0,-68.904,-68.836,3.406,83.435,-70.252
MCBS,,1631.858,,1415.134,216.724,447.0303,17.51,25.53,8.489,26.417,0.208,270.496,1154.323,123.106,22.238,86.216,71.196,71.196,,,44.718
NGVT,463.2,2141.7,215.5,1610.9,530.8,3654.7559,87.38,41.826,12.6907,719.3,1.85,56.5,175.3,1292.9,749.6,212.5,307.6,388.6,53.9,247.7,183.7
NTLA,289.481,334.28,35.633,64.399,269.881,736.4047,14.67,50.198,5.3763,37.133,0.27,57.226,4.62,43.103,143.884,0,-106.368,-100.781,0,253.848,-99.533
BATRK,267,1593,188,1215,378,1513.7388,29.54,51.19,7.3843,795,,142,28,476,340,0,-39,32,27,79,-77
FWONK,748,11505,426,6264,5241,10583.9947,45.965,231.648,22.6162,112,,587,69,2022,1394,0,-35,418,195,322,-311
BFST,,2273.835,,1988.738,285.097,331.0455,24.93,13.279,21.4698,29.28,0.355,89.371,1698.141,113.594,25.875,4.287,46.673,48.261,,,23.772
BALY,245.031,1021.887,89.784,810.476,211.411,823.6985,25.65,32.113,6.5833,527.661,4.831,182.581,23.19,523.577,185.172,7.9,125.613,158.005,39.83,155.247,55.13
PLSE,26.403,41.915,4.459,11.178,30.737,279.2633,13.41,20.825,1.476,7.68,0.082,6.899,0,0,0,0,-47.954,-46.794,0,21.944,-46.971
ADNT,4116,10342,3835,8102,2189,2149.5382,21.25,93.621,19.7392,1671,83,924,2123,16526,15414,793,164,482,180,281,-491
BPRN,,1454.894,,1258.969,195.925,212.9039,31.49,6.761,28.9787,25.31,0.178,12.032,1174.013,63.109,23.066,0,19.235,20.509,,,10.142
SELB,96.667,99.569,34.943,91.172,8.397,205.4559,2.38,86.326,0.0973,1.523,0.039,89.893,5,6.677,58.406,0,-52.455,-51.729,1.519,61.724,-55.35
TWLO,2061.331,5150.516,247.222,871.105,4279.411,13603.2296,98.28,138.413,30.9177,297.997,2.905,253.66,154.067,1134.468,450.219,0,-354.072,-243.642,25.779,1814.109,-307.063
VVV,797,2064,423,2322,-258,4141.64,21.41,188,-1.3723,498,7.9,159,401,2390,1513,194,381,442,73,374,208
JELD,1243.278,3381.332,768.786,2569.245,812.087,2356.6379,23.41,100.668,8.067,1066.428,23.3,225.962,478.796,4289.761,3332.773,505.078,226.928,352.215,74.278,474.492,62.971
PI,176.769,215.046,19.497,89.807,125.239,574.5316,25.86,22.217,5.6371,33.943,0.272,66.898,23.735,152.836,74.025,34.153,-21.661,-16.852,1.794,157.272,-22.987
SYRS,114.513,149.978,23.516,70.794,79.184,299.6729,6.91,43.368,1.8259,31.889,0.083,41.441,20.158,1.982,77.001,0,-77.741,-75.019,0.072,90.997,-75.438
HGV,,3079,,2509,570,2941.583,34.39,85.536,6.6639,838,9.11,67,1330,1838,1260,558,327,378,43,,216
PK,,11290,,4839,6451,6192.9417,25.87,239.387,27.136,,0.488,346,180,2794,2323,0,409,,140,,306
KDMN,184.604,214.798,28.742,49.063,165.735,723.7128,4.53,159.76,0.7718,22.095,0.115,139.597,0.954,5.095,92.391,0.64,-89.08,-87.296,3.381,155.862,-61.368
KIDS,128.058,194.564,13.663,52.203,142.361,785.8138,46.99,16.723,8.5129,21.349,0.094,70.777,16.567,72.552,17.933,38,-8.34,-3.704,3.538,114.395,-13.731
TPIC,468.422,826.677,373.881,621.627,205.05,651.2003,18.51,35.181,5.8284,327.358,13.3,70.282,373.214,1436.5,1321.952,6.731,38.732,74.632,8.179,94.541,-15.708
GOLF,742.818,1817.049,359.118,865.416,950.826,2419.17,32.5,74.436,12.3387,275.982,5.213,34.184,215.428,1681.357,776.73,398.368,188.307,228.185,20.461,383.7,121.07
SMPL,357.607,1141.65,48.032,304.206,837.444,2425.9563,28.54,81.875,10.2283,2.456,0.15,266.341,44.24,523.383,305.978,38.085,83.949,91.445,13.627,309.575,47.536
HONE,,4058.921,,3393.127,665.794,597.3505,10.99,54.354,12.2492,47.951,0.675,24.464,3147.498,215.756,50.469,119.807,54.337,61.104,,,18.268
AA,3530,14631,2563,8745,5886,3991.8258,21.51,185.58,22.1576,7916,13.8,879,660,10433,8521,1644,894,1607,134,967,-1125
KNSL,,1090.55,,684.67,405.88,2257.462,101.66,22.206,18.2779,22.634,0.275,100.408,111.8,315.888,239.155,0,76.051,76.733,0.2,,63.316
YETI,360.547,629.539,170.312,507.534,122.005,3017.9997,34.78,86.774,1.406,120.378,0.79,72.515,82.688,913.734,409.461,185.7,91.846,120.805,21.136,190.235,50.434
FHB,,20166.734,,17526.476,2640.258,3748.4228,28.85,129.928,20.3209,361.185,2.1,360.375,13081.12,871.225,119.09,1.223,514.794,532.941,,,284.392
PTGX,145.311,154.917,35.406,74.953,79.964,191.8869,7.05,27.218,2.9379,7.723,0.073,33.006,7.499,0.231,80.049,0,-80.521,-79.818,0.169,109.905,-77.187
INSW,187.344,1753.501,114.476,731.208,1022.293,871.1942,29.76,29.274,34.9215,1326.234,1.666,89.671,87.783,366.184,206.982,3.896,55.506,131.159,66.267,72.868,-0.83
MDGL,440.197,442.056,25.13,25.491,416.565,1405.7362,91.11,15.429,26.9988,1.859,0.029,46.697,0,0,0,0,-94.972,-94.86,0,415.067,-83.948
ATOM,15.003,15.24,1.468,1.468,13.772,52.7204,3.08,17.117,0.8046,0.224,0.017,14.871,0,0.533,0.209,0,-13.625,-13.581,0,13.535,-13.3
NLS,129.193,220.479,88.708,129.883,90.596,52.1168,1.75,29.781,3.0421,43.533,0.434,11.07,55.072,309.285,187.891,54.768,-26.536,-15.725,0.98,40.485,-92.8
RCKY,146.126,205.826,31.534,41.17,164.656,216.4577,29.43,7.355,22.3869,29.166,1.929,15.518,50.847,270.408,168.411,76.731,21.36,26.397,0,114.592,17.462
SITC,,4093.622,,2112.144,1981.478,2712.842,14.02,193.498,8.5449,,0.361,16.08,69.236,536.631,308.745,0,169.502,,86.001,,100.699
SGA,66.72,252.394,17.501,60.042,192.352,182.096,30.4,5.99,32.1122,65.611,1.002,44.034,18.962,123.072,93.554,0,22.573,29.518,0.735,49.219,13.279
CREE,1412.8,2816.9,268.2,775.7,2041.2,5987.1026,46.15,106.57,19.1067,625.2,5.319,500.5,129.1,1080,579.5,187.4,22.5,144.9,22.6,1144.6,-375.1
DFIN,211.2,886.9,179.5,618.3,268.6,358.074,10.47,34.2,7.8538,98.2,2.9,17.2,161.4,874.7,542.4,11.1,77,126.6,34.3,31.7,37.6
LIVN,549.443,2411.797,512.553,1028.08,1383.717,3654.1309,75.43,48.444,28.5632,235.726,4,61.137,258.369,1084.17,303.318,164.154,103.73,174.422,15.091,36.89,-155.176
CRY,187.39,605.654,45.195,319.958,285.696,1016.7961,27.09,37.534,7.6117,54.144,1.2,33.766,55.861,276.222,85.742,53.071,20.13,38.447,14.886,142.195,1.72
UEIC,378.752,564.159,266.456,289.76,274.399,728.7134,52.26,13.944,19.6786,110.558,4.347,74.302,152.582,753.477,557.729,145.135,20.249,52.175,4.3,112.296,3.63
FBK,,6124.921,,5362.592,762.329,1228.6361,39.59,31.034,24.5643,122.67,1.399,48.806,4378.503,417.934,63.554,281.457,177.14,186.655,,,83.814
EVBG,625.13,837.296,169.366,616.984,220.312,2642.9299,78.08,33.849,6.5087,19.355,0.948,531.575,68.642,200.882,54.101,0,-46.928,-27.257,7.478,455.764,-52.25
ELS,,4151.275,,2829.387,1321.888,12817.3151,70.39,182.09,6.8637,,4.2,28.86,37.558,1039.006,646.839,0,342.124,,104.223,,279.139
TTD,1449.221,1728.761,930.373,1116.244,612.517,11813.7553,259.78,45.476,13.469,237.461,1.31,130.876,1166.376,661.058,135.78,0,112.196,132.596,,518.848,108.318
ELF,132.36,453.104,51.123,210.933,242.171,492.0394,16.13,50.004,4.843,43.033,0.217,46.167,29.721,282.851,82.428,46.209,23.968,43.268,7.17,81.237,17.884
HUM,19888,29074,10929,17037,12037,,366.52,132.105,91.1169,2365,46,4054,2356,64888,53740,0,3239,3814,242,8959,2707
AVID,208.731,304.293,212.259,459.378,-155.085,370.227,8.58,43.15,-3.5941,49.327,1.429,69.085,93.267,411.788,149.773,29.166,32.982,46.616,26.712,-3.528,7.601
INTU,3594,6283,1966,2534,3749,72150.5158,261.93,260.18,14.4093,780,9.4,2116,247,6784,948,0,1855,2080,15,1628,1557
SCVL,329.647,628.374,122.506,331.011,297.363,502.3269,37.28,14.008,21.2281,282.788,5.1,61.899,2.724,1036.551,707.882,259.495,54.209,71.009,0.191,207.141,42.914
CSTR,,2037.201,,1764.155,273.046,305.7273,16.65,18.362,14.8702,30.884,0.289,17.726,1407.498,115.821,24.56,169.266,45.768,48.651,,,22.422
ALG,570.828,1212.763,162.874,643.006,569.757,1465.1685,125.55,11.67,48.8224,230.05,4.27,42.311,250.744,1119.138,818.353,267.674,99.839,129.804,10.747,407.954,62.906
MCHP,2217.2,17426.1,1637.4,11840.6,5585.5,16633.1028,104.72,245.326,22.7677,995.6,18,401,934,5274.2,1851,685.7,743,1958.6,497.3,579.8,570.6
BOMN,162.164,436.908,21.681,89.937,345.241,494.6714,21.04,23.511,14.6842,90.075,0.138,16.029,4.647,41.389,29.556,0,-12.187,1.522,0.303,140.483,-1.487
CHS,422.802,1542.659,405.745,1012.567,530.092,460.646,3.81,118.418,4.4764,963.779,17.1,63.972,19.452,2037.875,1246.997,246.737,-9.273,78.727,,17.057,-12.754
FLGT,37.079,88.756,3.723,5.979,82.777,277.1307,12.9,21.483,3.8531,8.607,0.139,11.965,7.199,32.528,12,0,-0.027,2.08,0,33.356,-0.411
BANF,,8565.758,,7560.769,1004.989,2041.4134,62.44,32.694,30.7392,211.975,1.948,222.043,5607.905,473.886,63.023,16.608,229.146,245.135,,,134.879
CB,,176943,,121612,55331,,155.66,451.972,122.4213,2451,33,1537,27874,34179,28981,0,5198,,552,,4454
ASIX,290.537,1235.969,291.726,835.091,400.878,557.1834,19.96,27.915,14.3607,891.866,1.52,7.05,106.66,1301.093,1089.477,171.71,82.817,136.241,11.813,-1.189,41.347
DZSI,194.686,246.147,79.801,139.599,106.548,189.7723,8.86,21.419,4.9745,27.238,0.789,28.747,121.669,306.882,204.182,35.439,-0.204,4.911,3.981,114.885,-13.457
COUP,929.331,1594.073,510.768,1131.581,462.492,10398.8484,146.25,64.529,7.1672,50.828,1.693,268.045,118.508,389.719,116.274,0,-69.825,-40.549,37.658,418.563,-90.832
FOSL,1059.458,1604.732,559.18,1100.891,503.841,398.0661,7.88,50.516,9.9583,439.666,10.2,200.218,300.325,2217.712,1063.482,452.278,17.866,72.658,29.932,500.278,-52.365
BPYU,,21973.386,,17261.81,4649.341,1180.9227,18.445,64.024,44.7211,,,197.829,368.186,1849.776,1336.31,0,485.069,,678.46,,432.88
SANM,2920.929,3905.513,1683.022,2262.94,1642.573,2238.7092,34.24,69.72,23.5596,630.647,43,454.741,1524.679,8233.859,7524.972,900.557,304.354,421.303,30.763,1237.907,141.515
TCBK,,6471.181,,5564.611,906.57,1245.6844,40.81,30.524,29.7002,114.965,1.184,92.816,4276.75,325.297,13.685,7.945,170.994,183.632,,,92.072
ATR,1291.241,3562.119,683.275,1989.867,1572.252,7373.3186,115.62,63.772,24.649,1160.055,14,241.97,574.673,2859.732,1818.896,375.795,395.594,590.146,35.489,607.966,242.202
ORLY,3833.662,10717.16,4469.427,10319.82,397.34,33140.7829,438.26,75.619,5.2545,5876.572,81.223,40.406,294.407,10149.985,4484.419,3454.092,1920.726,2191.601,152.973,-635.765,1391.042
RCL,1162.628,30320.284,7952.896,17586.457,12163.846,27877.0215,133.51,208.801,58.2557,26154.363,85.4,243.738,305.821,10950.661,6048.235,162.107,2111.305,3357.247,465.013,-6790.268,1878.887
HWM,5842,17578,4126,12957,4621,13318.9484,30.77,432.855,10.5162,5715,41.7,1648,1451,14192,11199,2429,1769,2305,371,1716,470
AVNT,1513.3,3273.3,702.5,2220.6,1052.7,2829.151,36.79,76.9,13.6788,471.2,5.6,864.7,330,2862.7,2120.1,260.9,228.5,306.6,70.5,810.8,588.6
JBL,8345.085,12970.475,8532.105,11069.717,1900.758,4422.9112,41.33,153.52,12.2944,3333.75,200,1163.343,3657.166,25282.32,22629.009,3023.003,779.967,1551.8,188.73,-187.02,287.111
ANIK,234.306,330.71,16.277,42.332,288.378,741.8698,51.85,14.308,20.155,73.647,0.154,157.463,23.079,114.61,22.756,21.995,37.496,43.487,,218.029,27.193
RGA,,76731,,65130,11601,10216.6874,163.06,62.656,185.1539,145,3.188,1449,11362,14300,12904.3,0,1334,1395.7,202,,870
GABC,,4397.672,,3823.852,573.82,950.021,35.62,26.671,21.5148,96.651,0.817,59.971,3060.813,221.069,36.574,18.138,98.204,106.834,,,59.222
CDW,4334.1,7999.4,3491.4,7039.1,960.3,20426.12,142.84,143,6.7154,494.9,9.9,154,3397.3,18032.4,14732.5,611.2,1136.6,1396.6,159.4,842.7,736.8
HR,,3563.855,,1663.846,1900.009,4495.1392,33.37,134.706,14.1049,,0.297,0.657,83.526,469.568,363.481,0,72.373,,56.846,,39.185
AKR,,4309.114,,2122.149,2186.965,,25.93,87.05,17.7175,1.565,0.118,15.845,193.339,319.184,217.632,0,66.136,,86.374,,53.045
RIG,3640,24105,1724,12238,11867,4209.6725,6.88,611.871,19.3864,18847,5.9,1790,680,3088,2134,479,-94,761,698,1916,-1255
SKT,,2285.211,,1829.102,456.109,1368.2992,14.73,92.892,4.6635,,0.636,16.672,61.6,483.426,318.658,0,115.349,,61.697,,87.855
ALL,,119950,,93952,25998,,112.45,318.791,74.2963,1628,46.29,338,23864,44675,37546,0,6671,7129,327,,4847
IRTC,172.792,306.212,52.066,170.803,135.409,1816.8455,68.09,26.683,5.0747,116.588,0.997,20.462,23.867,214.552,49.04,4.037,-54.755,-51.31,1.643,120.726,-54.568
GTYH,20.605,434.393,40.875,108.77,325.623,340.8661,5.89,57.872,5.6266,9.061,0.408,8.374,9.184,36.443,12.885,0,-42.27,-28.772,,-20.27,-97.37
OFIX,260.553,495.62,84.883,167.989,327.631,878.4821,46.18,19.023,17.2229,68.525,1.055,69.719,86.805,459.955,80.98,82.397,25.336,50.035,0.122,175.67,-28.462
SPNS,147.223,452.421,104.912,226.923,225.498,1153.68,23,50.16,4.4621,66.14,2.959,66.295,50.221,325.674,179.192,0,40.798,59.936,3.03,42.311,26.247
PZZA,181.546,730.721,207.945,790.459,-65.523,2014.1061,63.15,31.894,-10.4195,369.353,16.5,27.911,92.735,1619.61,1330.092,27.529,80.613,126.513,20.593,-26.399,4.866
THRM,373.863,727.386,156.704,254.736,472.65,1450.3989,44.39,32.674,14.4656,172.192,11.726,50.443,186.73,971.684,639.642,118.479,97.503,141.21,4.763,217.159,37.506
BBSI,423.848,860.929,342.122,689.13,171.799,679.7164,90.46,7.514,22.8639,55.529,127.085,44.57,164.896,942.311,734.058,0,50.488,54.374,1.789,81.726,48.292
BL,723.406,1014.552,206.997,611.034,398.613,2883.8024,51.56,55.931,7.1269,25.573,1.055,120.232,102.829,288.976,43.178,0,-28.233,-6.968,8.65,516.409,-32.535
YUMC,2259,6950,1736,3775,3175,18051.76,48.01,376,8.1835,3579,450,1046,137,8776,6984,380,852,1280,,523,713
GRWG,42.644,72.022,12.081,18.13,53.892,151.1916,4.1,36.876,1.4614,10.969,0.205,12.979,4.455,79.734,57.172,22.66,2.14,3.185,0.401,30.563,1.879
BCO,1232.6,3763.8,1002,3556.2,207.6,4543.068,90.68,50.1,3.8283,1033.6,64.6,311,663.2,3679.7,2647.1,0,255.7,435.6,84.8,230.6,29
PFC,,3468.992,,3042.825,426.167,621.2977,31.49,19.73,21.5999,48.463,0.699,46.254,2746.321,186.04,28.34,18.108,84.339,91.498,,,49.37
CPT,,6748.504,,3046.78,3701.724,,106.1,106.878,33.9517,,1.65,23.184,29.733,1055.03,733.67,0,246.465,,94.837,,219.623
IIPR,,745.857,,197.847,548.01,958.7692,75.87,12.637,42.1785,,0.013,82.244,0,49.513,9.914,0,29.781,,6.306,,23.475
MCRI,79.155,610.878,79.465,269.677,341.201,880.7456,48.55,18.141,18.8083,501.483,2.3,60.539,5.643,249.166,122.292,6.735,39.86,54.735,5.8,-0.31,31.816
CNDT,1586,4514,1177,3072,1442,1311.3682,6.2,211.511,6.1463,613,67,496,917,4467,3494,0,27,486,78,409,-1934
EQR,,21172.769,,10164.843,10544.526,30075.6173,80.92,371.671,27.6541,,2.7,45.753,0,2769.453,1739.411,0,977.285,,384.655,,970.377
BWA,3836,9702,2329,4858,4844,8953.979,43.38,206.408,22.7995,3010,29,832,1931,10168,7628,807,1228,1667,71,1507,746
SPTN,996.682,2275.609,565.134,1588.071,687.538,517.6382,14.24,36.351,18.9139,884.798,17.2,24.172,345.32,8536.065,7292.235,537.212,77.366,165.232,34.548,431.548,5.742
BFS,,1618.34,,1174.984,443.356,1226.1322,52.78,23.231,8.1779,,0.116,13.905,51.891,231.773,104.266,0,106.714,,53.562,,51.723
WINA,41.202,61.842,11.932,49.394,12.448,782.8884,198.3,3.948,3.153,6.367,0.098,25.13,14.968,73.299,4.101,0.086,43.131,43.531,1.731,29.27,32.149
PFGC,2670.6,4653.5,1699.3,3355.3,1298.2,4155.114,51.48,103.8,12.5067,950.5,18,14.7,1227.3,19743.5,17191.7,1356.9,295.1,450.1,65.4,971.3,166.8
LW,2302.6,4662.3,1024.9,4422.3,240,8771.1023,86.03,146.039,1.6434,1702,7.7,1364,342.1,3792.4,2672.4,486.7,614.9,792.7,108.9,1277.7,365.9
ARWR,265.247,349.845,97.071,105.809,244.036,2691.3591,63.43,95.506,2.561,23.215,0.134,221.805,0.661,168.796,103.167,0,61.19,65.629,,168.176,67.975
CASH,,6182.89,,5338.932,843.958,1232.8863,36.51,37.807,22.2158,254.469,1.186,126.545,3629.698,548.274,117.172,178.271,247.22,247.22,,,97.004
KDP,2273,49518,6474,26261,23257,40728.3654,28.95,1406.852,16.5312,2525,25.5,75,1184,11120,4573,703,2665,3149,639,-4201,1254
MAR,3127,25051,6677,24348,703,49063.32,151.43,324,2.1698,2792,174,,2395,20972,18572,0,2052,2400,394,-3550,1273
BDC,1377.754,3406.759,722.544,2440.94,965.819,2500.19,55,45.458,21.115,408.601,7,407.48,334.634,2131.278,1292.822,231.333,234.343,349.886,55.814,655.21,-377.015
QCRH,,4909.05,,4373.699,535.351,694.2161,43.86,15.828,33.823,75.759,0.697,76.254,3650.531,282.558,67.583,19.768,100.315,107.806,,,57.408
VREX,438.4,1038.9,175.1,580.2,448.2,1095.1083,29.81,38.371,11.5947,142.3,2,29.9,141,780.6,487.6,248.2,70.7,105.4,21.1,263.3,15.5
BYD,399.494,6650.145,556.893,5384.903,1265.242,3339.5675,29.94,111.542,11.3432,3608.723,24.3,249.977,60.464,3326.119,1989.831,22.101,477.887,753.238,237.325,-157.399,157.636
DECK,1194.111,1765.118,300.946,624.998,1140.12,3751.866,168.86,27.999,40.72,452.559,3.6,649.436,193.747,2132.689,993.574,311.62,338.135,377.047,5.046,893.165,276.142
ALBO,141.799,165.069,18.924,71.908,93.161,324.0796,25.42,12.749,7.3073,5.297,0.055,131.843,0,9.636,68.411,0,-58.902,-58.775,5.296,122.875,-62.717
COST,23485,45400,23237,29816,15584,129583.865,293.92,439.625,34.6727,20890,254,8384,1535,152703,131394,11395,4860,6352,150,248,3659
LXP,,3180.26,,1455.541,1724.719,2705.668,10.62,254.771,6.3129,0.468,0.057,122.666,70.247,328.859,194.941,0,103.133,,65.505,,279.91
RVSB,,1180.808,,1031.965,148.843,112.9454,8.21,22.544,6.6023,21.027,0.252,14.102,898.885,62.855,6.014,0.275,25.497,28.46,,,15.748
REG,,11132.253,,4842.292,6289.961,10544.2948,63.09,167.131,37.1765,7.098,0.45,113.02,169.337,1195.163,738.559,0,381.62,,156.525,,239.43
FFIN,,8262.227,,7035.03,1227.197,4737.2364,35.1,134.964,9.0928,131.022,1.345,231.534,4142.47,427.62,33.067,29.237,250.344,262.009,,,164.812
PTEN,631.815,4439.615,400.602,1605.995,2833.62,2016.378,10.5,192.036,14.7557,3337.952,5.8,174.185,346.096,2470.685,1761.316,36.357,-431.5,572.373,50.552,231.213,-425.703
INCY,2481.488,3426.75,513.34,828.344,2598.406,18876.663,87.32,216.178,12.0198,406.625,1.456,1832.684,308.809,2158.759,60.649,11.4,421.688,475.288,1.855,1968.148,446.906
ROCK,437.102,984.45,229.197,310.486,673.964,1628.5058,50.44,32.286,20.8748,123.071,1.932,191.363,147.515,1047.439,774.743,78.476,113.253,133.202,1.126,207.905,65.091
ITRI,997.251,2707.841,671.391,1907.026,800.815,3353.047,83.95,39.941,19.4421,313.001,7.9,149.904,472.925,2502.47,1700.037,227.896,168.079,282.479,54.085,325.86,49.006
URBN,1053.396,3315.633,638.77,1860.278,1455.355,2508.2112,27.77,97.977,14.854,2060.563,24,221.839,88.288,3983.789,2617.802,409.534,245.836,357.386,,414.626,168.096
CNTY,79.366,726.9,56.57,554.825,172.075,233.64,7.92,29.5,5.5358,540.973,3.515,54.754,11.371,218.227,113.137,2.046,16.649,27.492,8.25,22.796,-19.155
CARS,122.44,2027.991,98.806,886.923,1141.068,815.8561,12.22,66.764,17.0911,60.596,1.5,,101.762,606.682,162.408,0,22.871,139.748,30.774,23.634,-445.324
UFPI,1093.072,1889.477,354.042,631.744,1257.733,2929.2093,47.7,61.409,20.253,467.34,12,168.336,377.299,4416.009,3663.672,491.564,246.471,313.29,8.7,739.03,179.65
ICHR,276.947,566.555,163.867,345.139,221.416,752.5341,33.27,22.619,9.7889,58.739,1.715,60.612,84.849,620.837,525.49,127.037,16.752,38.621,10.647,113.08,10.729
FWRD,236.318,990.878,137.164,413.696,577.182,1948.1075,69.95,27.85,20.7247,364.688,5.48,64.749,154.019,1410.395,1118.341,2.132,129.89,171.999,2.711,99.154,87.099
BYSI,40.862,44.555,10.053,13.424,31.131,432.233,15.5,27.886,1.0857,2.747,0.061,35.933,0,0,0,0,-40.307,-40.23,0.206,30.809,-38.085
BPFH,,8830.501,,8010.1,819.018,1001.69,12.03,83.266,9.8362,146.602,0.779,292.479,6904.722,408.885,76.807,7.386,141.613,165.738,,,80.028
SCHN,466.288,1160.746,268.23,459.45,701.296,590.341,21.68,26.664,26.1388,456.4,3.363,12.377,151.484,2132.781,1805.199,187.32,85.171,138.507,8.266,198.058,56.345
VIAV,916.8,1815.1,284,1089.3,725.8,3040.752,15,228.8,3.1722,179.9,3.6,521.5,258.4,1130.3,404.2,102.7,86.9,199.2,34.3,632.8,5.4
KALV,88.696,92.529,7.72,8.777,83.752,194.6999,17.81,17.846,4.693,3.655,0.056,15.789,16.527,12.69,52.711,0,-40.533,-40.021,,80.976,-29.116
NYCB,,53640.821,,46929.127,6711.694,5617.5109,12.02,467.347,13.2853,598.82,2.786,741.87,41746.517,1889.39,854.865,2,616.558,643.654,,,395.043
SUI,,7802.06,,3848.104,3875.952,,150.1,93.18,40.993,,3.146,22.13,157.926,1265.411,860.109,62.061,296.648,,137.851,,161.553
CASA,308.443,444.312,94.466,405.748,38.564,342.8974,4.09,83.838,0.46,35.91,0.997,113.638,93.15,282.297,106.109,93.604,-0.565,14.157,20.522,213.977,-48.206
SHOO,718.879,1278.647,281.271,437.423,841.224,3592.1952,43.01,83.52,9.9198,221.204,4,264.101,254.637,1787.157,1100.754,136.896,193.993,216.244,,437.608,141.311
SPG,,31231.63,,28101.319,2911.25,,148.96,306.869,8.103,,4.5,669.373,832.151,6121.038,2472.045,0,3273.68,,822.695,,2101.584
EMN,3321,16008,1789,9976,6032,10774.7629,79.26,135.942,43.8275,5768,14.5,204,1375,9273,6429,1662,1309,1919,225,1532,759
UFPT,53.25,188.758,16.308,26.767,161.991,369.3961,49.61,7.446,21.7554,59.773,1.154,3.743,28.927,198.381,136.222,18.276,24.708,32.908,0.674,36.942,19.75
LNG,4212,35492,1874,33057,2435,15487.352,61.07,253.6,-0.0552,30112,1.53,2474,491,9730,6233,312,2384,3178,1846,2338,648
PCSB,,1637.579,,1356.272,281.307,336.0083,20.25,16.593,16.9534,11.802,0.182,58.756,1093.121,56.549,11.551,1.158,17.024,18.202,,,8.318
MED,154.151,194.653,79.388,89.821,104.832,1289.0991,109.58,11.764,8.9113,38.842,0.55,76.974,1.437,713.672,173.114,48.771,91.039,94.739,,74.763,77.916
NEX,688.054,1664.907,386.194,778.135,886.772,1423.147,6.7,212.41,4.1748,773.418,6.525,255.015,350.765,1821.556,1403.932,61.641,5.592,297.742,21.356,301.86,-106.157
NODK,,508.159,,198.356,309.803,,17.2,22.119,13.848,7.694,0.186,62.132,57.055,270.779,234.719,0,33.811,36.06,0,,26.401
HAIN,701.787,2582.62,383.157,1063.301,1519.319,2282.3961,25.955,104.219,14.5781,328.362,5.441,39.526,236.945,2302.468,1799.141,364.887,114.834,163,32.623,318.63,-183.314
MAA,,11230.45,,4926.86,6303.59,,131.86,114.246,52.7386,,2.513,20.476,,1664.809,1164.699,0,453.989,,182.736,,353.811
WTTR,415.601,1347.62,151.881,234.808,1112.812,815.6563,9.28,87.894,10.6607,523.913,3.9,79.268,272.305,1291.589,1026.04,37.542,37.573,158.242,2.688,263.72,2.784
JNCE,173.697,205.882,14.4,31.289,174.593,294.5327,8.73,33.738,5.175,28.287,0.13,53.241,0,147.872,91.204,0,52.817,56.668,0,159.297,56.823
DAKT,252.002,372.651,145.965,195.671,176.98,201.4564,6.09,44.57,3.9708,67.484,2.671,40.398,76.644,608.932,452.504,122.27,-0.167,17.561,0.106,106.037,0.491
DSPG,94.793,205.925,25.239,52.831,153.094,363.7671,15.74,23.111,6.6243,18.46,0.34,28.737,17.477,117.613,56.55,7.464,-4.404,-2.471,0.015,69.554,-1.19
MLM,1426.7,10131.6,838.5,4778.3,5353.3,17449.536,279.64,62.4,85.75,5687.9,8.846,21,583.9,4739.1,3192.7,690.8,876.3,1243.7,134.4,588.2,611.9
TSCO,1787.887,5289.268,1247.6,3722.145,1567.123,11041.3376,93.44,118.165,13.2622,3352.758,33.5,84.241,0,8351.931,5480.161,1602.781,746.162,942.14,19.843,540.287,562.354
ALB,2225.109,9860.863,1408.996,5767.283,4093.58,7745.1616,73.04,106.04,37.0827,5043.337,6,613.11,752.448,3589.427,2116.465,768.984,762.65,976.134,83.066,816.113,533.228
