gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,bkvlps,ceq,ch,cogs,csho,ebit,ebitda,emp,invt,lct,lt,ni,ppent,rect,sale,teq,wcap,xint,costat,prcc_c,mkvalt,ggroup,gind,gsector,gsubind,naics,sic
001327,20190930,2019,INDL,C,D,STD,SWKS,USD,2234.6000,4839.6000,24.2346,4122.3000,851.3000,1353.0000,170.1000,1042.1000,1413.7000,9.0000,609.7000,374.0000,717.3000,853.6000,1205.6000,465.3000,3376.8000,4122.3000,1860.6000,0.0000,A,120.8800,13480.4250,4530,453010,45,45301020,334413,3674
001380,20191231,2019,INDL,C,D,STD,HES,USD,3156.0000,21782.0000,28.6337,8732.0000,1545.0000,3106.0000,304.9550,637.0000,2776.0000,1.7750,261.0000,2510.0000,12076.0000,-408.0000,17560.0000,1170.0000,6495.0000,9706.0000,646.0000,418.0000,A,66.8100,20374.0436,1010,101020,10,10102020,2111,1311
001393,20200331,2019,INDL,C,D,STD,UHAL,USD,,13438.0240,215.2550,4220.7200,494.3520,2802.4350,19.6080,512.3130,1176.4330,30.0000,101.0830,,9217.3040,442.0480,9030.0440,495.7580,3978.8680,4220.7200,,184.4670,A,375.8200,5697.1044,2030,203040,20,20304020,532120,7510
001410,20191031,2019,INDL,C,D,STD,ABM,USD,1275.4000,3692.6000,23.1632,1542.0000,58.5000,5718.7000,66.5710,225.9000,333.3000,140.0000,0.0000,902.4000,2150.6000,127.4000,150.3000,1085.8000,6498.6000,1542.0000,373.0000,51.1000,A,37.7100,2427.1787,2020,202010,20,20201050,561720,7340
001414,20191231,2019,INDL,C,D,STD,PRI,USD,,13688.5310,40.1022,1652.4910,256.8760,1528.2820,41.2070,505.9220,524.2220,2.8030,43.2330,,12036.0400,366.3910,94.0810,4499.9320,2052.5040,1652.4910,,28.8110,A,130.5600,5379.9859,4030,403010,40,40301020,524113,6311
001439,20191231,2019,INDL,C,D,STD,ECOL,USD,332.9710,2231.2440,32.1471,1011.3800,41.2810,421.3730,31.4610,74.0940,135.3960,3.8000,0.0000,180.7700,1219.8640,33.1400,536.1640,266.5540,685.5090,1011.3800,152.2010,19.2390,A,57.9100,1821.9065,2020,202010,20,20201050,562211,4955
001440,20191231,2019,INDL,C,D,STD,AEP,USD,4077.8000,75892.3000,39.7277,19632.2000,246.8000,10454.6000,494.1690,2592.3000,5106.8000,17.4080,1169.2000,10299.1000,55870.5000,1921.1000,61095.5000,1705.1000,15561.4000,19956.1000,-6221.3000,1161.2000,A,94.5100,46703.9122,5510,551010,55,55101010,2211,4911
001447,20191231,2019,INDL,C,D,STD,AXP,USD,,198321.0000,26.5074,23071.0000,23932.0000,36250.0000,810.0000,9582.0000,10770.0000,64.5000,0.0000,,175250.0000,6759.0000,4834.0000,146418.0000,47020.0000,23071.0000,,1028.0000,A,124.4900,,4020,402020,40,40202010,522210,6141
001449,20191231,2019,INDL,C,D,STD,AFL,USD,,152768.0000,39.8449,28959.0000,4896.0000,17594.0000,726.7930,4735.0000,4775.0000,11.7290,0.0000,,123809.0000,3304.0000,581.0000,12389.0000,22369.0000,28959.0000,,228.0000,A,52.9000,,4030,403010,40,40301020,524114,6321
001487,20191231,2019,INDL,C,D,STD,AIG,USD,,525064.0000,74.9139,65190.0000,2856.0000,37687.0000,869.9990,6617.0000,11623.0000,46.0000,0.0000,,457637.0000,3348.0000,2601.0000,97569.0000,49310.0000,67427.0000,,1417.0000,A,51.3300,44657.0487,4030,403010,40,40301030,524126,6331
001526,20191231,2019,INDL,C,D,STD,ANAT,USD,,28597.5660,222.7749,5989.7490,452.0010,3322.6060,26.8870,694.3770,747.5370,,0.0000,,22601.8030,620.3630,106.3030,6431.2840,4070.1430,5995.7630,,,A,117.6800,,4030,403010,40,40301030,524113,6311
001562,20200430,2019,INDL,C,D,STD,AMSWA,USD,125.6660,171.2930,3.7048,119.4220,79.8140,44.4900,32.2340,6.0480,14.1510,0.4280,0.0000,47.4580,51.8710,6.7420,5.4260,25.0070,115.4660,119.4220,78.2080,0.0000,A,14.8800,531.2163,4510,451030,45,45103010,511210,7372
001585,20191231,2019,INDL,C,D,STD,AVD,USD,336.1990,670.0980,11.4061,344.1560,6.5810,272.1890,30.1730,21.6010,40.2440,0.6710,163.3130,138.6380,325.9420,13.6010,67.7790,155.8480,468.1860,344.1560,197.5610,7.7060,A,19.4700,587.4683,1510,151010,15,15101030,325320,2870
001598,20191231,2019,INDL,C,D,STD,AME,USD,2025.7710,9844.5590,22.3303,5115.4920,393.0300,3136.8550,229.0830,1177.3800,1411.4220,18.1000,624.5670,1425.8580,4729.0670,861.2970,728.5870,817.7990,5158.5570,5115.4920,599.9130,88.4810,A,99.7400,22848.7384,2010,201040,20,20104010,334513,3823
001602,20191231,2019,INDL,C,D,STD,AMGN,USD,18440.0000,59707.0000,16.3561,9673.0000,6037.0000,2321.0000,591.4000,9721.0000,11756.0000,23.4000,3584.0000,12835.0000,50034.0000,7842.0000,5397.0000,4652.0000,23362.0000,9673.0000,5605.0000,1289.0000,A,241.0700,142568.7980,3520,352010,35,35201010,325414,2836
001632,20191031,2019,INDL,C,D,STD,ADI,USD,1985.1260,21392.6410,31.7924,11709.1880,648.3220,1595.1050,368.3020,1806.2670,2617.5180,16.4000,609.8860,1508.6320,9683.4530,1363.0110,1219.9890,635.1360,5991.0650,11709.1880,476.4940,229.0750,A,118.8400,39272.0423,4530,453010,45,45301020,334413,3674
001659,20191231,2019,INDL,C,D,STD,ANDE,USD,1945.3420,3900.7410,29.1998,973.6100,54.8950,7506.1330,33.3430,90.3870,236.5530,2.3200,1170.5360,1439.9190,2705.0860,18.3070,1599.1170,536.3670,8170.1910,1195.6550,505.4230,61.8910,A,25.2800,842.9110,3010,301010,30,30101020,424510,5150
001661,20191231,2019,INDL,C,D,STD,NBR,USD,1248.6660,6760.6580,4.6840,1982.8050,435.9900,1929.3310,363.3980,-76.3550,799.7360,14.0000,176.3410,656.5480,4285.1010,-702.8850,4977.1960,453.0420,3043.3830,2050.1650,592.1180,205.8110,A,2.8800,1046.5862,1010,101010,10,10101010,213111,1381
001678,20191231,2019,INDL,C,D,STD,APA,USD,1961.0000,18107.0000,8.6555,3255.0000,247.0000,4760.0000,376.0630,-2627.0000,928.0000,3.1630,502.0000,1855.0000,13087.0000,-3553.0000,14158.0000,1062.0000,6280.0000,4465.0000,106.0000,437.0000,A,25.5900,9623.4522,1010,101020,10,10102020,2111,1311
001686,20200229,2019,INDL,C,D,STD,APOG,USD,381.9100,1128.9910,19.5431,516.7780,14.9520,1032.3800,26.4430,87.8480,123.9480,7.2000,182.0120,276.8570,612.2130,61.9140,377.2780,159.4650,1387.4390,516.7780,105.0530,9.2170,A,32.5000,798.3142,2010,201020,20,20102010,332321,3442
001690,20190930,2019,INDL,C,D,STD,AAPL,USD,162819.0000,338516.0000,20.3653,90488.0000,48844.0000,149235.0000,4443.2360,63930.0000,76477.0000,137.0000,4106.0000,105718.0000,248028.0000,55256.0000,37378.0000,45804.0000,260174.0000,90488.0000,57101.0000,3576.0000,A,293.6500,995151.5669,4520,452020,45,45202030,334220,3663
001704,20191031,2019,INDL,C,D,STD,AMAT,USD,10206.0000,19024.0000,8.9672,8214.0000,3129.0000,7859.0000,916.0000,3372.0000,3735.0000,22.0000,3474.0000,4447.0000,10810.0000,2706.0000,1529.0000,2641.0000,14608.0000,8214.0000,5759.0000,237.0000,A,61.0400,49702.1600,4530,453010,45,45301010,333242,3559
001706,20190831,2019,INDL,C,D,STD,EPAC,USD,730.3250,1124.2740,4.9810,301.1790,211.1510,348.9940,60.4650,76.3160,96.5330,4.7000,77.1870,300.4010,823.0950,-249.1450,56.7290,129.6300,654.7580,301.1790,429.9240,28.5750,A,26.0300,1342.9277,2010,201060,20,20106020,333132,3533
001712,20191231,2019,INDL,C,D,STD,TREC,USD,84.0900,301.8190,6.9153,171.1540,6.1450,205.0830,24.7500,13.2890,29.4900,0.2700,15.4810,28.6350,130.3760,-14.9740,202.9930,27.6500,258.9590,171.4430,55.4550,5.1390,A,7.1500,176.9625,1510,151010,15,15101010,324110,2911
001722,20191231,2019,INDL,C,D,STD,ADM,USD,21347.0000,43997.0000,34.4847,19208.0000,852.0000,59517.0000,557.0000,1671.0000,2663.0000,38.1000,9170.0000,13734.0000,24714.0000,1379.0000,11077.0000,4665.0000,64656.0000,19225.0000,7613.0000,463.0000,A,46.3500,25816.9500,3020,302020,30,30202010,31122,2070
001743,20191231,2019,INDL,C,D,STD,ARCB,USD,664.4020,1651.2070,30.0340,763.0430,201.9090,2791.4520,25.4060,84.3920,196.8580,13.0000,0.0000,444.2770,888.1640,39.9850,752.0620,301.3530,2988.3100,763.0430,220.1250,11.4670,A,27.6000,701.2056,2030,203040,20,20304020,484122,4213
001773,20191231,2019,INDL,C,D,STD,ARW,USD,12526.1590,16400.7960,59.6864,4811.9190,300.1030,25594.2660,80.6200,957.3480,1147.1380,19.3000,3477.1200,8258.1590,11534.4030,-204.0870,1081.0630,8482.6870,28916.8470,4866.3930,4268.0000,258.5580,A,84.7400,6831.7388,4520,452030,45,45203030,423690,5065
001794,20190930,2019,INDL,C,D,STD,ASH,USD,1433.0000,7251.0000,59.5167,3571.0000,232.0000,1513.0000,60.0000,264.0000,515.0000,4.7000,597.0000,757.0000,3680.0000,505.0000,1577.0000,481.0000,2493.0000,3571.0000,676.0000,118.0000,A,76.5300,4623.0000,1510,151010,15,15101050,3252,2820
001823,20191231,2019,INDL,C,D,STD,ATRO,USD,343.0810,782.7160,12.5446,388.8570,31.9060,569.8630,30.9980,50.1560,81.4560,2.8280,145.7870,120.6400,393.8590,52.0170,138.5650,147.9980,772.7020,388.8570,222.4410,6.1410,A,27.9500,868.9951,2010,201010,20,20101010,336320,3640
001864,20200131,2019,INDL,C,D,STD,REX,USD,271.1350,500.5020,63.7328,401.0070,179.6580,382.5420,6.2920,-6.7730,16.2340,0.1280,35.6340,31.5990,46.8960,7.4270,179.5000,18.9980,418.0340,453.6060,239.5360,0.0000,A,81.9600,474.1022,1010,101020,10,10102030,325193,2860
001878,20200131,2019,INDL,C,D,STD,ADSK,USD,2659.3000,6179.3000,-0.6340,-139.1000,1774.7000,238.6000,219.4000,366.8000,491.5000,10.1000,0.0000,3219.2000,6318.4000,214.5000,600.5000,652.3000,3274.3000,-139.1000,-559.9000,,A,183.4600,43188.8900,4510,451030,45,45103010,519130,7370
001891,20190630,2019,INDL,C,D,STD,ADP,USD,34342.3000,41887.7000,12.4364,5399.9000,1949.2000,7677.6000,434.2000,3080.8000,3489.8000,58.0000,0.0000,32627.7000,36487.8000,2292.8000,764.2000,2439.3000,14175.2000,5399.9000,1714.6000,129.9000,A,170.5000,71786.2860,4510,451020,45,45102020,518210,7374
001913,20191231,2019,INDL,C,D,STD,AVY,USD,2340.6000,5488.8000,14.4422,1204.0000,253.7000,4991.4000,83.3670,823.7000,998.3000,30.0000,663.0000,2253.8000,4284.8000,303.6000,1348.8000,1212.2000,7070.1000,1204.0000,86.8000,81.1000,A,130.8200,10906.0709,1510,151030,15,15103020,322220,2670
001919,20190630,2019,INDL,C,D,STD,AVT,USD,6876.3360,8564.5560,39.7977,4140.4730,546.1050,16851.6480,104.0380,611.4510,792.2930,15.5000,3008.4240,2578.5760,4424.0830,176.3370,452.1710,3168.3690,19518.5920,4140.4730,4297.7600,134.8740,A,42.4400,4709.8003,4520,452030,45,45203030,423690,5065
001926,20200229,2019,INDL,C,D,STD,AZZ,USD,354.5620,1073.8310,24.2606,634.3660,36.6870,784.9950,26.1480,107.1320,157.3260,4.3430,99.8410,280.6130,439.4650,48.2340,256.3120,209.3070,1061.8170,634.3660,73.9490,13.4630,A,45.9500,964.5997,2010,201040,20,20104020,335122,3640
001949,20191231,2019,INDL,C,D,STD,BRT,USD,,390.6100,12.7672,199.6530,22.6990,18.2480,15.6380,0.5280,,0.0130,0.0000,,191.0500,0.8560,,4.1500,28.8670,199.5600,,7.7960,A,16.9700,,6010,601010,60,60101060,531110,6798
001968,20191231,2019,INDL,C,D,STD,BMI,USD,200.0940,421.8930,11.3695,331.0680,48.8710,239.2280,29.1190,62.1480,84.0170,1.5670,81.9480,57.2470,,47.1770,85.7610,61.3650,424.6250,331.0680,142.8470,0.2530,A,64.9300,1890.6967,4520,452030,45,45203010,334514,3824
001979,20191231,2019,INDL,C,D,STD,BCPC,USD,254.9460,1155.6820,23.0938,743.6670,65.6720,409.9020,32.2020,104.2880,149.8680,1.4240,83.8930,92.2580,412.0150,79.6710,224.1970,93.4440,643.7050,743.6670,162.6880,7.2760,A,101.6300,3272.6893,1510,151010,15,15101050,325412,2834
001982,20191231,2019,INDL,C,D,STD,PTVCB,USD,,1634.3600,25.5141,364.3160,67.8510,480.8720,14.2790,7.0290,13.0810,0.5000,0.0000,,1270.0440,7.3470,42.6690,565.3710,493.9530,364.3160,,,A,16.0900,228.8641,4030,403010,40,40301040,524126,6331
001988,20191231,2019,INDL,C,D,STD,BLL,USD,4884.0000,17360.0000,9.0840,2949.0000,1798.0000,9203.0000,324.6350,1176.0000,1854.0000,18.3000,1274.0000,5577.0000,14341.0000,566.0000,4709.0000,1631.0000,11474.0000,3019.0000,-693.0000,317.0000,A,64.6700,20994.1455,1510,151030,15,15103010,332431,3411
002002,20191231,2019,INDL,C,D,STD,BPOP,USD,,52115.3240,62.4189,5966.6190,388.3110,534.8780,95.5900,1457.1820,1524.6190,8.5600,181.2750,,46098.5450,671.1350,719.3870,26929.1650,2830.6760,6016.7790,,,A,58.7500,5615.9125,4010,401010,40,40101015,522110,6020
002005,20191231,2019,INDL,C,D,STD,BOH,USD,,18095.4960,32.1387,1286.8320,299.1050,105.6820,40.0400,368.5840,385.8520,2.1240,41.7990,,16808.6640,225.9130,289.2260,10880.8650,770.7350,1286.8320,,,A,95.1600,3810.2064,4010,401010,40,40101015,522110,6020
002019,20191231,2019,INDL,C,D,STD,BK,USD,,381508.0000,42.1247,37941.0000,4830.0000,4335.0000,900.6830,7730.0000,9045.0000,48.4000,3.0000,,339780.0000,4441.0000,3625.0000,54831.0000,20007.0000,41585.0000,,,A,50.3300,45331.3754,4020,402030,40,40203010,522110,6020
002049,20191231,2019,INDL,C,D,STD,B,USD,764.3900,2738.3350,24.9996,1270.5280,93.8050,843.0400,50.8220,244.1080,343.1620,5.7490,232.7060,342.8750,1467.8070,158.3500,388.0140,371.4180,1491.1180,1270.5280,421.5150,21.1270,A,61.9600,3148.9311,2010,201060,20,20106020,332613,3490
002086,20191231,2019,INDL,C,D,STD,BAX,USD,7503.0000,18193.0000,15.5723,7882.0000,3335.0000,5657.0000,506.1550,1937.0000,2726.0000,50.0000,1653.0000,3230.0000,10281.0000,1001.0000,5120.0000,1896.0000,11362.0000,7912.0000,4273.0000,120.0000,A,83.6200,42324.6811,3510,351010,35,35101010,325412,2834
002101,20190630,2019,INDL,C,D,STD,AIT,USD,1148.1380,2331.6970,23.2410,897.0340,108.2190,2464.4160,38.5970,267.6820,329.8010,6.6500,447.5550,423.7940,1434.6630,143.9930,124.3030,549.8220,3472.7390,897.0340,724.3440,40.7880,A,66.6900,2374.8734,2010,201070,20,20107010,423830,5080
002111,20190930,2019,INDL,C,D,STD,BDX,USD,6664.0000,51765.0000,68.8023,21079.0000,536.0000,6872.0000,270.4270,2894.0000,5024.0000,70.0930,2579.0000,5655.0000,30684.0000,1233.0000,5659.0000,2346.0000,17290.0000,21081.0000,1009.0000,683.0000,A,271.9700,68407.2139,3510,351010,35,35101010,339112,3841
002124,20191231,2019,INDL,C,D,STD,BELFB,USD,283.1810,468.9170,13.6927,168.0510,72.2890,365.2440,12.2730,7.9420,24.4130,6.9350,107.2760,90.2180,300.8660,-8.7430,60.4470,92.4100,492.4120,168.0510,192.9630,5.4480,A,20.5000,242.3730,4520,452030,45,45203015,334416,3677
002136,20191231,2019,INDL,C,D,STD,VZ,USD,37473.0000,291727.0000,14.8447,61395.0000,2594.0000,54726.0000,4135.8280,30303.0000,46985.0000,135.0000,1422.0000,44868.0000,228892.0000,19265.0000,114609.0000,26277.0000,131868.0000,62835.0000,-7395.0000,5386.0000,A,61.4000,253939.8392,5010,501010,50,50101020,517312,4812
002184,20200131,2019,INDL,C,D,STD,BBY,USD,8857.0000,15591.0000,13.5637,3479.0000,2229.0000,32850.0000,256.4940,2053.0000,2865.0000,125.0000,5174.0000,8060.0000,12112.0000,1541.0000,5037.0000,1149.0000,43638.0000,3479.0000,797.0000,64.0000,A,87.8000,21722.4769,2550,255040,25,25504020,443142,5731
002220,20191231,2019,INDL,C,D,STD,BIO,USD,2180.1550,8008.8590,192.3096,5755.0570,660.6720,929.1430,29.9260,255.3600,389.5980,8.1200,554.0070,905.4950,2253.8020,1758.6750,701.2070,394.6720,2311.6590,5755.0570,1274.6600,23.4160,A,370.0300,11071.3291,3520,352030,35,35203010,334516,3826
002259,20191231,2019,INDL,C,D,STD,BKH,USD,473.1840,7558.4570,38.4229,2362.1230,9.7770,1119.7380,61.4770,406.0420,615.1620,2.9440,117.1720,811.2940,5094.3880,199.3100,5508.2800,255.8050,1734.9000,2464.0690,-338.1100,145.8470,A,78.5400,4828.4036,5510,551030,55,55103010,2211,4911
002269,20200430,2019,INDL,C,D,STD,HRB,USD,3086.7360,5112.0470,0.3691,71.0410,2661.9140,1542.7400,192.4750,183.0830,352.6190,80.5000,0.0000,1575.6160,5041.0060,-7.5260,679.1550,161.6740,2639.7200,71.0410,1511.1200,96.0940,A,23.4800,3204.7088,2530,253020,25,25302020,541213,7200
002285,20191231,2019,INDL,C,D,STD,BA,USD,102229.0000,133625.0000,-15.3080,-8617.0000,9485.0000,69840.0000,562.9090,5952.0000,7850.0000,161.1000,76622.0000,97312.0000,141925.0000,-636.0000,13684.0000,12471.0000,84818.0000,-8300.0000,4917.0000,867.0000,A,325.7600,183373.2358,2010,201010,20,20101010,336411,3721
002312,20191231,2019,INDL,C,D,STD,RHI,USD,1628.8490,2311.4080,9.9347,1143.6830,270.4780,3479.6490,115.1200,620.3900,686.0150,221.6000,0.0000,940.6920,1167.7250,454.4330,369.4140,832.7970,6074.4320,1143.6830,688.1570,,A,63.1500,7269.8280,2020,202020,20,20202010,561320,7363
002352,20190731,2019,INDL,C,D,STD,BRC,USD,573.2790,1157.3080,16.0532,850.7740,279.0720,558.1680,52.9970,162.4280,186.2270,6.1000,120.0370,241.9450,306.5340,131.2580,110.0480,158.1140,1160.6450,850.7740,331.3340,2.8300,A,57.2600,2741.5348,2020,202010,20,20201010,339950,3990
002403,20191231,2019,INDL,C,D,STD,BMY,USD,29354.0000,129944.0000,22.9223,51598.0000,12346.0000,6670.0000,2251.0000,6738.0000,8547.0000,30.0000,4293.0000,18304.0000,78246.0000,3439.0000,6956.0000,7685.0000,26145.0000,51698.0000,11050.0000,656.0000,A,64.1900,144491.6900,3520,352020,35,35202010,325412,2834
002436,20200131,2019,INDL,C,D,STD,CAL,USD,882.2990,2431.7070,15.9900,645.9500,45.2180,1662.8590,40.3970,127.3810,192.9430,11.4000,618.4060,850.9500,1782.5770,62.8190,920.4400,168.3700,2921.5620,649.1300,31.3490,28.2950,A,23.7500,708.9674,2550,255040,25,25504010,316210,3140
002444,20191231,2019,INDL,C,D,STD,BC,USD,1525.8000,3564.4000,16.3493,1300.9000,320.3000,2848.7000,79.5690,494.6000,633.3000,12.8280,824.5000,944.4000,2263.5000,-131.0000,879.6000,331.8000,4108.4000,1300.9000,581.4000,81.0000,A,59.9800,4772.5486,2520,252020,25,25202010,333618,3510
002448,20191231,2019,INDL,C,D,STD,MTRN,USD,491.9870,852.6700,29.9293,610.6770,125.0070,895.9800,20.4040,92.3090,124.0090,2.6000,190.3900,122.4400,241.9930,50.6600,255.6890,154.7510,1185.4240,610.6770,369.5470,1.6410,A,59.4500,1213.0178,1510,151040,15,15104020,331410,3330
002497,20191231,2019,INDL,C,D,STD,MTZ,USD,2173.5590,4997.0060,23.3425,1787.2200,71.4270,6070.2440,76.5650,577.9620,813.4440,21.0000,100.0690,1219.1260,3205.3150,392.3340,1135.7380,1874.8940,7183.1880,1791.6910,954.4330,77.0260,A,64.1600,4912.4104,2010,201030,20,20103010,237130,1623
002504,20191231,2019,INDL,C,D,STD,UIS,USD,1221.3000,2504.0000,-20.2788,-1265.4000,538.8000,2187.7000,62.4000,249.4000,333.0000,20.8000,20.7000,927.3000,3732.3000,-17.2000,251.5000,548.0000,2931.2000,-1228.3000,294.0000,68.7000,A,11.8600,740.0640,4510,451020,45,45102010,541512,7373
002536,20200331,2019,INDL,C,D,STD,RAMP,USD,896.3930,1301.8890,16.5132,1087.5120,717.8110,116.8030,65.8570,-172.3210,-140.0200,1.1500,0.0000,161.3820,214.3770,-124.5110,37.1510,139.4070,380.5720,1087.5120,735.0110,0.0000,A,48.0700,2168.0124,4510,451020,45,45102010,519130,7370
002547,20191231,2019,INDL,C,D,STD,CI,USD,29845.0000,155774.0000,121.7026,45338.0000,4619.0000,127819.0000,372.5310,9020.0000,12637.0000,73.7000,2661.0000,40138.0000,110395.0000,5104.0000,4953.0000,10938.0000,153699.0000,45344.0000,-10293.0000,1600.0000,A,204.4900,76178.8642,3510,351020,35,35102015,524114,6324
002558,20191231,2019,INDL,C,D,STD,CNA,USD,,60612.0000,45.0052,12215.0000,242.0000,9345.0000,271.4130,1174.0000,1242.0000,5.9000,0.0000,,48397.0000,1000.0000,502.0000,8059.0000,10587.0000,12215.0000,,131.0000,A,44.8100,12162.0165,4030,403010,40,40301040,524126,6331
002574,20191231,2019,INDL,C,D,STD,CSX,USD,3278.0000,38257.0000,15.3180,11848.0000,958.0000,5714.0000,773.4710,4874.0000,6223.0000,20.9080,261.0000,2151.0000,26394.0000,3331.0000,32700.0000,986.0000,11937.0000,11863.0000,1127.0000,737.0000,A,72.3600,55968.3616,2030,203040,20,20304010,482111,4011
002577,20191231,2019,INDL,C,D,STD,CTS,USD,237.4780,643.3540,12.4790,405.2190,100.2410,286.8050,32.4720,61.4000,86.0190,3.5700,42.2370,96.9480,238.1350,36.1460,129.6820,78.0720,468.9990,405.2190,140.5300,2.6480,A,30.0100,974.4847,4520,452030,45,45203020,33441,3670
002578,20191231,2019,INDL,C,D,STD,TLS,USD,40.2450,77.6920,-2.8697,-141.1360,6.7510,101.9020,49.1810,5.0250,9.9970,0.7300,1.9650,37.3030,214.3140,-6.4010,21.5460,27.9420,159.2180,-136.6220,2.9420,7.4670,A,,,4510,451030,45,45103020,541512,7373
