ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
CLS,3120.8,4686.3,139.2,1725.9,2591.7,-1661.3,8811.7,16,9.1928,227.853,227.853,1197.9,1004.4,2094.6,1394.9,1779.5319,8256.7,-150.6,67.1
NVDA,2031.77,2675.263,484.954,638.807,668.344,1198.001,3068.771,15,5.5595,388.309,360.989,354.68,518.68,2006.919,1392.963,11064.3129,1752.322,448.834,0.021
AXL,639.4,2597.5,51.9,541.3,1783.8,603.2,3191.7,14,16.1129,55.6,50.5,198.4,327.6,813.7,98.1,958.995,2748.1,-222.5,46.2
PBG,2749,11927,1017,2051,9303,2347,12730,8,9.0609,310,230,533,1367,,698,7109.3,6161,522,298
RAI,4935,18178,2066,4092,11135,-1659,8510,13,23.8241,295.625,295.625,1155,169,7043,843,19354.5688,4669,1210,270
JNPR,2521.806,7368.395,323.539,762.617,1253.311,-1530.969,2303.58,14,10.7427,569.234,569.234,0,249.445,6115.084,1759.189,10781.292,671.223,-1001.437,
BMRN,334.224,463.436,-43.947,46.045,345.634,-591.649,84.209,18,1.2843,91.726,91.726,25.075,14.67,117.802,288.179,1503.3891,1.94,-28.533,13.411
LII,1018.4,1719.8,182,651.1,915.4,307.4,3671.1,14,11.9781,76.975,67.156,305.5,502.6,804.4,367.3,2055.6452,2471.6,166,10.1
OMN,157.8,338.9,24.1,93.5,290.4,-261.2,699.1,16,1.1548,43.1,42,33.4,94.4,,64.3,200.76,549.2,21.3,20.3
PTV,838,2758,429,549,1896,95,2917,11,6.4292,171.783,132.676,296,323,,289,4735.2064,2029,274,75
CHRT,1181.961,3618.431,77.045,613.492,1943.4,-1275.358,1414.525,12,5.6345,253.59,253.59,157.047,243.361,,568.469,,568.288,66.754,100.012
A,3958,7369,515,1538,3710,1563,4973,12,8.9412,535,408,627,692,3648,2420,14524.8,2122,3307,69
PKG,646.718,1986.976,234.456,388.338,1295.205,261.217,2187.046,11,6.6128,104.611,104.611,195.946,263.159,691.771,258.38,2311.9031,1590.969,125.032,39.603
EPC,1635.1,3132.6,473.2,926.9,2920.2,1015.4,3076.9,13,3.7478,97.084,56.673,553.9,735.4,212.4,708.2,4079.8893,1481.4,260.9,77.9
VC,3565,6938,23,2568,6855,-3695,11418,17,-1.4574,131,129,520,1877,-188,997,1093.92,10307,-163,190
9971B,139.699,1427.783,113.268,124.042,1160.824,61.518,835.876,15,25.9008,2.314,2.298,21.289,106.032,59.52,15.657,,261.758,1.077,57.764
AMMD,233.584,1122.507,85.555,102.533,841.345,27.324,358.318,15,3.9567,71.059,71.059,37.974,91.938,,131.051,1316.0127,64.177,-49.317,19.942
TTMI,271.748,573.698,55.233,144.343,286.383,119.423,369.316,15,6.8257,42.093,42.093,67.02,126.152,287.315,127.405,476.9137,263.873,35.039,3.394
COL,1927,3278,689,1324,2072,712,3868,8,7.2172,183.8,167.1,727,821,,603,9163.764,2635,477,13
BG,8393,14347,593,4515,8269,2287,26274,12,41.4985,119.956,119.956,3684,2175,5668,3878,8698.0096,24357,521,294
DJO,169.774,668.334,47.409,67.162,398.065,106.325,413.058,15,12.1099,22.318,22.318,47.214,90.236,,102.612,955.6568,154.656,12.641,20.181
ACW,398.24,1233.187,167.542,186.899,969.605,8.243,1408.155,16,7.5633,34.926,34.85,103.653,142.665,,211.341,392.411,1120.126,65.133,52.886
AYI,737.645,1444.116,198.901,427.794,901.857,175.663,2393.123,12,12.5922,48.063,43.063,209.319,379.622,542.259,309.851,1840.082,1384.084,106.562,34.535
KYPH,301.473,428.606,61.235,73.427,83.906,60.184,407.79,16,7.6704,44.969,44.939,11.869,73.859,,228.046,1815.5356,45.191,39.732,
0252B,114.009,242.665,42.163,54.542,164.39,21.643,428.616,17,94.6493,7.693,0.827,51.332,46.714,,59.467,,328.806,16.254,14.302
0282B,62.374,156.741,16.484,34.354,242.602,-92.386,271.603,18,-7.1965,11.931,11.931,21.527,33.976,,28.02,,211.375,-28.766,18.715
STX,4333,9544,921,3337,4332,2355,9206,13,9.0494,575.948,575.948,891,1445,5212,996,13039.4627,6453,840,41
DADE,712.7,1875.4,225,367.3,1066.2,333.4,1739.2,12,9.7659,82.86,82.86,189.7,359.5,,345.4,3298.6566,673.6,120,26.9
TPX,237.556,725.666,209.305,131.767,512.318,144.6,945.045,14,2.5636,99.215,83.222,61.736,142.647,213.348,105.789,1702.7221,459.593,112.322,29.114
HSP,1522.89,2847.587,436.195,606.226,1486.498,625.875,2688.505,11,8.7314,163.468,155.884,626.934,335.334,,916.664,5234.5847,1538.32,237.679,44.424
XRM,254.062,990.726,92.324,109.033,874.146,-85.421,601.439,16,2.6616,43.8,43.8,103.853,109.694,116.58,145.029,428.802,308.177,31.288,41.893
CVGI,265.106,590.822,97.474,129.738,325.917,90.762,918.751,15,12.3967,21.375,21.369,88.723,123.471,264.905,135.368,465.8442,754.344,58.05,14.829
WLK,849.787,2082.098,309.15,321.912,908.557,744.995,2484.366,13,17.9801,65.269,65.269,456.276,308.903,1173.541,527.875,2048.1412,2017.105,194.559,20.112
NP,222.4,744.7,35.1,129.5,559.8,-39.8,594.3,16,12.4848,14.812,14.81,82.1,117.4,184.9,92.9,523.0892,474,62.5,19.7
HUN,3336.6,8444.9,622.4,2073.1,6678.9,-1339,10623.6,15,6.5674,221.549,220.652,1520.1,1271.3,1736.6,1263.5,4185.7684,8671.3,229.8,367.1
BLDR,440.311,748.515,146.611,144.715,491.651,128.889,2239.454,16,7.3744,34.832,34.832,122.015,196.658,256.864,295.596,621.0546,1643.699,68.893,28.718
KOP,349.5,649.4,95.6,187.2,729.6,-213,1159.5,16,-4.4573,20.85,20.73,156.4,142.1,-92.4,162.3,540.4311,965.3,15.2,47.5
ALJ,515.173,1408.785,239.066,286.394,1108.923,108.24,3198.084,16,6.2028,46.806,46.806,311.464,126.634,290.33,228.779,1231.4659,2842.988,157.368,20.967
DRC,669.032,1771.329,164.466,471.5,1139.458,112.205,1501.527,15,7.3923,85.477,85.477,183.029,305.05,631.871,197.532,2091.6222,1047.446,78.759,47.877
SPR,1420.5,2722.2,301.4,569.7,1863.2,-1,3207.7,14,6.3773,134.697,134.697,882.2,264.9,859,850.8,4508.3086,2559.6,16.8,46.4
DEIX,321.326,678.707,56.688,160.388,554.316,9.579,437.778,16,4.9432,25.164,25.164,122.697,157.013,,160.938,288.1278,313.16,21.009,17.835
ARII,196.874,338.926,43.189,70.788,88.746,14.2,646.052,15,11.7965,21.208,21.208,103.51,44.5,250.18,126.086,721.9203,564.163,35.204,0.806
0507B,355.845,807.33,62.362,157.103,531.909,72.13,927.797,16,25038.2727,0.011,0.011,187.484,67.662,,198.742,,721.017,14.686,33.036
WCRX,295.805,3162.545,112.114,170.985,1834.313,-708.821,754.457,16,5.3011,251.048,250.558,66.376,74.287,,124.82,3462.7116,143.109,-153.51,173.475
ABB,17177,25142,2437,12376,18653,1628,24412,9,2.771,2187.756,2178.973,3880,7276,6038,4801,,16971,1390,304
MX,244.064,770.053,-119.488,121.449,937.22,-339.713,744.352,11,-5.3971,52.721,52.721,57.846,83.419,-167.167,122.615,,456.351,-229.31,57.223
SYT,5546,11852,1155,2968,6158,2474,8046,8,11.631,520.218,487.146,2381,2367,5666,2578,,3562,634,159
