tic,sale,xrd
UFI,606.509,11.257
UNF,1804.159,0
AEE,5794,0
UNP,19533,0
UDR,1266.283,0
UNH,257141,0
UMBF,1368.655,0
UMH,158.854,0
UPS,84628,0
RTX,56587,2582
SGMS,2724,166
UTL,418.6,0
SXT,1332.001,38.5
UVV,1983.357,0
UHS,11145.897,0
UTMD,42.198,0.486
VFC,9238.83,0
VSEC,661.659,0
VMI,2895.355,21.4
VECO,454.163,78.994
VLGEA,1804.594,0
VSH,2501.898,70.861
VNO,980.382,0
VMC,4856.826,0
WDFC,408.498,6
WMT,556933,0
WBA,139537,0
GHC,2883.421,0
WRE,294.118,0
AVA,1321.891,0
WSO,5054.928,0
WRI,515.666,0
WMK,4112.601,0
WST,2146.9,46.9
WDC,16736,2261
WEYS,195.375,0
WY,7532,5
WHR,19456,455
WMB,7719,0
WSM,6783.189,0
WGO,2355.533,0
WEC,7241.7,0
LNT,3416,0
WWW,1791.1,0
WWD,2495.665,133.134
FL,7548,0
XRX,7022,257
YORW,53.852,0
SPB,3964.2,41.8
TJX,32136.962,0
ZION,2942,0
OSK,6856.8,103.9
WTM,678.4,0
QLYS,362.963,72.548
ALEX,314.1,0
SF,3817.839,0
OVV,6087,0
LCII,2796.166,13
JKHY,1697.067,109.988
ASB,1419.447,0
NMIH,433.283,0
TFC,24433,0
VLY,1566.751,0
FMBI,791.971,0
NGVC,1036.842,0
RBB,153.16,0
LAND,58.899,0
BIG,6199.186,0
MS,52047,0
TROW,6206.7,0
NNN,691.571,0
MSFT,143015,19269
COTY,4717.8,93.4
RGEN,366.26,20.182
ASTE,1024.4,22.1
WERN,2372.178,0
AMWD,1744.014,0
HOG,4054.377,202.4
SKYW,2127.106,0
TOL,7223.129,0
POR,2145,0
VIVO,253.667,23.729
IT,4099.403,0
WTS,1508.6,42.2
NVR,7566.04,0
INT,20358.3,0
CLFD,93.075,1.27
ATUS,9894.642,0
ADBE,12868,2188
JOE,160.555,0
DJCO,49.942,0
EHC,4644.4,0
CNO,3821.1,0
MHO,3046.345,0
MRTN,874.374,0
FISV,14852,0
KBH,4183.174,0
CVM,0.559,17.84
ABEO,10,30.139
APYX,27.711,3.92
UNM,13162.8,0
PPC,12091.901,5.4
CLGX,1642.375,0
JJSF,1022.038,0.68
HTLD,645.262,0
CERN,5505.788,501.694
ICAD,29.698,8.114
MKL,9739.496,0
OSUR,171.721,31.032
FRPH,23.583,0
PLXS,3390.394,0
CDZI,0.541,0
IMKTA,4610.609,0
SNV,2308.608,0
RDNT,1071.84,0
JACK,1021.506,0
PEAK,1578.276,0
CMO,186.594,0
PLAB,609.691,17.144
SAFM,3564.267,0
PGR,42638.1,0
RLI,983.626,0
VOXX,563.605,7.94
CDNS,2682.891,1033.732
BRY,523.833,0
OPY,1198.667,0
EBIX,625.609,35.267
CCL,5595,0
DRE,1006.863,0
MBI,256,0
BDN,518.207,0
MIDD,2513.257,35.3
EQC,87.506,0
UHT,79.716,0
ABMD,847.522,121.875
CNMD,862.459,40.473
XRAY,3342,115
VIAC,25285,0
ZTS,6687,463
