tic,sale,xrd
ESRT,611.865,0
FANG,2813,0
CSTE,486.412,3.974
PSX,64129,48
PBYI,225.11,97.65
GMED,789.042,84.519
NOW,4519.484,1024.327
BLMN,3170.561,2.4
PANW,3408.4,768.1
FIVE,1962.137,0
RLGY,6221,0
PGTI,882.621,0
CVLT,723.472,133.401
PTCT,380.766,477.643
QRTEA,14177,0
SEM,5531.713,0
KBR,5767,0
EHTH,582.774,9.1
LMAT,129.366,10.099
INFU,97.388,0
ESXB,69.399,0
ICFI,1506.875,0
GTS,3702.438,0
TNL,2365,0
EVR,2288.76,0
ORBC,248.466,12.72
ALGT,990.073,0
FOLD,260.886,116.096
WU,4835,0
CELH,130.726,0.508
DEI,891.236,0
HBI,6664.35,44.71
FSLR,2711.332,93.738
GORO,90.692,0
FRST,143.23,0
WLDN,390.98,0
PRIM,3491.497,0
AWI,936.9,14.7
SBH,3514.33,0
IPGP,1200.724,126.898
CPRX,119.073,16.497
ATHX,1.44,62.994
EBS,1555.4,205.5
CTT,99.615,0
AIMC,1726,57.8
TAST,1547.502,0
III,249.128,0
CLNE,291.724,0
NCMI,90.4,1.9
SMCI,3339.281,221.478
EIG,711.4,0
PRTS,443.884,0
ESGR,2660.506,0
ARAY,382.928,49.784
IBKR,2492,0
ESSA,77.327,0
UFS,3652,0
TFSL,508.549,0
CARE,167.422,0
BR,4529,0
GLRE,478.818,0
FRBA,95.553,0
CNK,686.31,0
CAI,294.013,0
TTGT,148.376,7.827
PODD,904.4,146.8
INFN,1355.596,265.634
JAZZ,2363.567,722.764
LLNW,230.194,21.68
CDXC,59.257,3.732
DFS,12953,0
AMC,1242.4,0
TIPT,814.729,0
PRO,252.424,75.614
SCOR,356.036,38.706
MASI,1143.744,118.659
DHX,136.878,16.47
ALSN,2081,147
G,3709.377,0
LULU,4401.879,0
RILY,902.721,0
VMW,11767,2816
TDC,1836,334
MSCI,1695.39,101.053
LPLA,5871.64,0
ROIC,284.114,0
TGH,665.315,0
CVI,3930,0
PZN,138.619,0
ULTA,6151.953,0
APEI,321.785,0
ENSG,2402.596,0
LL,1097.702,0
SCU,897.02,0
UIHC,846.656,0
NFBK,179.617,0
CIM,1086.532,0
TITN,1411.222,0
LRN,1040.765,9.7
ACBI,109.281,0
FOR,931.8,0
SATS,1887.907,29.448
EBSB,265.06,0
CSII,236.545,43.355
AWK,3777,0
V,21846,0
CFX,3070.769,68.6
FN,1641.836,0
HCCI,405.951,0.3
PM,28694,495
HI,2517,18.6
CCXI,64.891,77.882
ZGNX,13.643,148.702
SWI,1019.241,126.216
ERII,118.986,23.449
KKR,9718.02,0
VRS,1359,0
NX,851.573,0
CDNA,192.194,48.941
FLDM,135.044,36.461
CDXS,69.056,44.185
IPI,196.954,0
AGNC,2645,0
ECHO,2511.515,0
HCI,275.12,0
MRC,2560,0
IOVA,0,201.727
LOPE,844.096,0
SB,206.035,0
HBCP,118.434,0
IVR,283.401,0
MG,592.571,2.892
BKI,1238.5,0
ATVI,8086,1150
TREE,909.99,43.636
JBT,1727.8,29.3
RXN,1433.1,27.5
BERY,11709,79
MYRG,2247.392,0
VRSK,2784.6,48.9
IBIO,1.648,3.213
AVGO,23888,4968
MDRX,1502.7,206.061
GPRE,1923.719,0
DMRC,23.99,17.314
FSBW,144.196,0
CLW,1868.6,0
SLCA,845.885,0
OPI,587.505,0
RC,356.181,0
WMC,41.251,0
TBNK,76.561,0
ADUS,764.775,0
ASPS,365.547,0
TXMD,64.872,10.432
PMT,738.383,0
H,2066,0
FTNT,2594.4,341.4
STWD,1173.472,0
KAR,2187.7,0
OMER,73.813,110.817
SRNE,39.986,154.332
CLNY,772.728,0
ARI,429.173,0
RCM,1270.8,0
IRDM,583.439,12.037
GNRC,2485.2,80.251
TWO,-875.71,0
COWN,1430.627,0
FLNT,310.719,12.604
ARR,164.99,0
PEB,442.888,0
TRNO,187.757,0
EFC,211.464,0
CALX,541.239,85.258
ST,3045.578,131.429
CRMD,0.239,13.377
SPSC,312.63,31.024
MSGN,685.797,0
FIBK,690.2,0
APO,2354.019,0
IRWD,389.523,88.062
PLOW,480.154,6.679
QNST,490.339,14.206
EXPR,1208.374,0
STNG,915.892,0
GDOT,1238.974,0
CBOE,3427.1,0
MXL,478.596,179.993
ENV,998.23,0
AOSL,464.909,51.252
CLDT,137.671,0
FLT,2388.855,0
NPTN,371.163,56.1
AMRS,173.137,71.676
QUAD,2929.6,3
FAF,7080.949,0
WKHS,1.393,9.149
TSLA,31536,1491
HPP,812.605,0
AMRC,1032.275,0
VPG,269.812,12.6
COR,606.824,0
VRA,468.272,0
BWXT,2123.516,14.189
ASMB,79.105,106.823
STAG,483.857,0
APTS,501.883,0
HZNP,2200.429,209.364
WD,1128.661,0
CLAR,224.007,10.159
EVTC,510.588,0
INN,234.608,0
PACB,78.893,64.152
WSR,119.114,0
TRGP,8260.3,0
AAT,345.009,0
SBRA,580.97,0
SAVE,1810.022,0
CSOD,740.916,112.945
CMRE,460.319,0
HHC,699.489,0
BKU,1200.83,0
PCRX,429.647,59.421
BAH,7858.938,0
ACRX,5.416,4.017
REVG,2277.6,5.8
SUPN,520.397,75.961
GWRS,38.627,0
KOS,804.033,0
AL,1946.62,0
WIFI,237.416,0
HII,9361,31
THR,276.181,7.466
RLJ,468.87,0
SEAS,431.779,0
SXC,1333,0
VER,1171.515,0
ARMK,12829.559,0
CHEF,1111.631,0
MPC,69779,0
Z,3339.817,383.1
ORC,116.82,0
HMST,401.376,0
MSBI,306.137,0
RM,373.906,0
GRPN,1416.868,0
AMCX,2814.956,0
ENPH,774.425,55.921
UI,1284.5,89.405
ASPN,100.273,8.729
TSE,3035.5,60.4
TLYS,531.329,0
ZNGA,1974.8,713.7
HTA,745.55,0
REGI,2137.148,0
PRLB,434.395,36.94
EPAM,2659.478,0
BCEI,218.09,0
VCRA,198.42,38.82
MTSI,530.037,141.333
CHUY,320.952,0
MTDR,862.126,0
FRGI,554.803,0
BCOV,197.353,33.978
FBHS,6090.3,49.9
FRG,2147.593,0
CG,2934.6,0
XYL,4876,187
ACRE,130.637,0
ENVA,684.193,0
GO,3134.64,0
VVNT,1260.566,15.222
AXGN,112.3,17.846
GWRE,742.307,200.575
NBHC,358.26,0
VAC,2886,0
ACHC,2089.929,0
VSTM,18.516,41.376
CLVS,164.522,257.707
PBF,15115.9,0
YELP,872.933,232.561
FBIO,45.599,64.109
CPRI,4060,0
TRIP,604,0
IGT,3115.456,190.948
GLNG,438.637,0
TPH,3260.447,0
NTB,536.39,0
CBRE,23826.195,0
BLKB,913.219,100.146
TRTN,1393.687,0
SNDR,4552.8,0
ALNY,492.853,654.819
NUVA,1050.582,80.849
GHL,311.678,0
CATM,1093.999,0
UCTT,1398.6,14.8
CNS,427.536,0
KRG,264.96,0
LXFR,324.8,3.3
FF,204.505,2.988
LYB,27753,113
FRO,1221.187,0
ESI,1853.7,48.6
NETI,163.732,0
ALLE,2719.9,54.4
GAN,35.159,0
LPG,318.218,0
ATH,14764,0
APG,3587,0
NVT,1998.6,43.5
ACA,1935.6,
HYFM,342.205,
