tic,ggroup
SITE,2010
RDN,4010
SGRY,3510
KAI,2010
LGND,3520
GTLS,2010
SM,1010
UVE,4030
MTCH,5020
FCBC,4010
KURA,3520
CTMX,3520
NVCR,3510
HOME,2550
RGNX,3520
PEN,3510
HPE,4520
ANAB,3520
BRP,4030
SMBK,4010
ABTX,4010
LAUR,2530
DLTH,2550
WVE,3520
VYGR,3520
EQBK,4010
AXSM,3520
APLS,3520
RRR,2530
SQ,4510
MIME,4510
FCPT,6010
AC,4020
CLPR,6010
TEAM,4510
WBT,2010
RMR,6010
FTV,2010
AGR,5510
OCX,3520
SCWX,4510
NTNX,4510
HRI,2010
TRHC,3510
GCP,1510
TCMD,3510
EDIT,3520
RETA,3520
ATKR,2010
EIGR,3520
MCBS,4010
NGVT,1510
NTLA,3520
BATRK,5020
FWONK,5020
BFST,4010
BALY,2530
PLSE,3510
ADNT,2510
BPRN,4010
SELB,3520
TWLO,4510
VVV,1510
JELD,2010
PI,4530
SYRS,3520
HGV,2530
PK,6010
KDMN,3520
KIDS,3510
TPIC,2010
GOLF,2520
SMPL,3020
HONE,4010
AA,1510
KNSL,4030
YETI,2520
FHB,4010
PTGX,3520
INSW,1010
MDGL,3520
ATOM,4530
NLS,2520
RCKY,2520
SITC,6010
SGA,5020
CREE,4530
DFIN,4020
LIVN,3510
CRY,3510
UEIC,2520
FBK,4010
EVBG,4510
ELS,6010
TTD,4510
ELF,3030
HUM,3510
AVID,4520
INTU,4510
SCVL,2550
CSTR,4010
ALG,2010
MCHP,4530
BOMN,5020
CHS,2550
FLGT,3510
BANF,4010
CB,4030
ASIX,1510
DZSI,4520
COUP,4510
FOSL,2520
BPYU,6010
SANM,4520
TCBK,4010
ATR,1510
ORLY,2550
RCL,2530
HWM,2010
AVNT,1510
JBL,4520
ANIK,3520
RGA,4030
GABC,4010
CDW,4520
HR,6010
AKR,6010
RIG,1010
SKT,6010
ALL,4030
IRTC,3510
GTYH,4510
OFIX,3510
SPNS,4510
PZZA,2530
THRM,2510
BBSI,2020
BL,4510
YUMC,2530
GRWG,2550
BCO,2020
PFC,4010
CPT,6010
IIPR,6010
MCRI,2530
CNDT,4510
EQR,6010
BWA,2510
SPTN,3010
BFS,6010
WINA,2550
PFGC,3010
LW,3020
ARWR,3520
CASH,4010
KDP,3020
MAR,2530
BDC,4520
QCRH,4010
VREX,3510
BYD,2530
DECK,2520
ALBO,3520
COST,3010
LXP,6010
RVSB,4010
REG,6010
FFIN,4010
PTEN,1010
INCY,3520
ROCK,2010
ITRI,4520
URBN,2550
CNTY,2530
CARS,5020
UFPI,2010
ICHR,4530
FWRD,2030
BYSI,3520
BPFH,4010
SCHN,1510
VIAV,4520
KALV,3520
NYCB,4010
SUI,6010
CASA,4520
SHOO,2520
SPG,6010
EMN,1510
UFPT,1510
LNG,1010
PCSB,4010
MED,3030
NEX,1010
NODK,4030
HAIN,3020
MAA,6010
WTTR,1010
JNCE,3520
DAKT,4520
DSPG,4530
MLM,1510
TSCO,2550
ALB,1510
BZH,2520
IVZ,4020
WRK,1510
BCRX,3520
FMNB,4010
MAC,6010
ZEUS,1510
AVB,6010
NNBR,2010
CPRT,2020
SCSC,4520
MPAA,2510
LMNR,3020
PLD,6010
FMBH,4010
INVH,6010
EXP,1510
SMBC,4010
AEO,2550
ADC,6010
HLNE,4020
IR,2010
NKTR,3520
PUMP,1010
ABCB,4010
TELL,1010
PENN,2530
SSD,2010
LJPC,3520
LBRT,1010
ESS,6010
HIW,6010
IMAX,5020
FR,6010
HCC,1510
FDP,3020
GBX,2010
MATW,2020
AIV,6010
GEO,6010
SOI,1010
MLR,2010
ARD,1510
ADTN,4520
AMED,3510
YEXT,4510
CLI,6010
DAR,3020
AYX,4510
SIRI,5020
RS,1510
OKTA,4510
O,6010
KNX,2030
AZPN,4510
CVLG,2030
NWBI,4010
CADE,4010
COF,4020
EEX,5020
CVNA,2550
CLDR,4510
URGN,3520
VERI,4510
BHVN,3520
AM,1010
OVID,3520
SVRA,3520
APPN,4510
KREF,4020
MGY,1010
GNTY,4010
GTHX,3520
FOCS,4020
NESR,1010
HAFC,4010
AGS,2530
ATNX,3520
NSIT,4520
SSTI,4510
RCII,2550
WOW,5020
BRKS,4530
SGH,4530
SNEX,4020
CODX,3510
ACIW,4510
BY,4010
DLTR,2550
ESQ,4010
NATI,4520
MRSN,3520
ABC,3510
ATLO,4010
CBZ,2020
BMRC,4010
BHF,4030
HLIT,4520
DRI,2530
RMD,3510
BHB,4010
AFIN,6010
SAFE,6010
TRTX,4020
GPMT,4020
KALA,3520
RDFN,6010
BKR,1010
JBGS,6010
CLXT,3520
PETQ,3510
PDLB,4010
MTEM,3520
PQG,1510
MBIO,3520
KRYS,3520
HBB,2520
CEIX,1010
ROKU,5020
DCPH,3520
OPTN,3520
SWCH,4510
MCB,4010
SPRO,3520
MDB,4510
FNKO,2550
ALTR,4510
CARG,5020
PACK,1510
BAND,5010
EYE,2550
VICI,6010
CBTX,4010
OSW,2530
AQUA,2010
MBIN,4010
SAIL,4510
CUE,3520
SFIX,2550
SBT,4010
ARCT,3520
NMRK,6010
ILPT,6010
LBC,4010
EQH,4020
WSC,2010
DNLI,3520
QTRX,3520
ODT,3520
AMEH,3510
AVYA,4510
ELOX,3520
VMD,3510
GTES,2010
SLDB,3520
RCKT,3520
EOLS,3520
ADT,2020
CDLX,5020
WHD,1010
BTAI,3520
EVFM,3520
COLD,6010
ZS,4510
CLBK,4010
PRPL,2520
STEP,4020
VXRT,3520
BWB,4010
RCUS,3520
DBX,4510
SPOT,5020
