tic,RetEarly2020,RetLate2020
RLGY,-0.6890500297,3.358804795
SSTK,-0.2460355154,1.252963817
WDAY,-0.2081481726,0.8400389756
AMBA,-0.1981504422,0.890856571
FANG,-0.7138166757,0.8991924467
ICPT,-0.4919306144,-0.6076872444
RH,-0.5294143163,3.454257399
PCG,-0.1729534269,0.3859832345
CHMG,-0.2178823763,0.05660371202
NEO,-0.05606861167,0.9500170501
PRTA,-0.3240691476,0.1224288563
UIHC,-0.2624893588,-0.3627552875
ABBV,-0.12695186,0.4643016518
PBF,-0.7712822665,0.00282376929
BFAM,-0.3213125407,0.69598087
TPH,-0.4370988272,0.9669313049
CONE,-0.04860182974,0.2098198843
LAND,-0.07675565004,0.2695039797
FWONA,-0.4102332033,0.471339043
NCLH,-0.8123610759,1.320256544
BCC,-0.3471933675,1.109494326
ORC,-0.4678633303,0.9804052607
AMSWA,-0.03864114719,0.2327815509
RC,-0.5058369083,0.8727103053
ZTS,-0.1094411952,0.4120487567
INBK,-0.3049349275,0.767461215
XONE,-0.1434321594,0.4851321611
APAM,-0.305307714,1.478086201
MODN,-0.3666954576,0.6064838891
ENTA,-0.1675296527,-0.1814110592
EVTC,-0.3307870979,0.7382403115
HASI,-0.3657552663,2.219037797
PEP,-0.1142533992,0.2621729519
SEAS,-0.6524759001,1.866607779
TMHC,-0.4967977364,1.331819166
TXMD,-0.5619835216,0.1415102974
CMRX,-0.290640752,2.354167636
HMTV,-0.4249161094,0.2131149001
IBTX,-0.5705646204,1.68620529
AHH,-0.4049046225,0.07145654771
ECOM,-0.1969028911,1.201103134
MO,-0.2083755346,0.1302689916
VOYA,-0.3331334788,0.4631394098
NRZ,-0.6890135504,1.107627076
PFSI,-0.3482598163,1.994745953
IQV,-0.3019230361,0.6611348685
ARCT,0.250229125,2.192050713
AMBC,-0.427908785,0.2463540702
CUBI,-0.5409491005,0.8489192293
EPZM,-0.3695120783,-0.2998071638
COP,-0.5222640331,0.345959621
NRC,-0.3070976852,-0.06002593306
PVH,-0.6416783261,1.494421135
TSC,-0.629785956,0.7993786869
BLUE,-0.4762394564,-0.05852751337
CDW,-0.344858643,0.4269363749
ESPR,-0.4712393381,-0.1753888402
GOGO,-0.6687496816,3.542452491
NDLS,-0.1498195825,0.6772805458
NSTG,-0.1355137481,1.7808747
NWSA,-0.3582033425,1.016506807
NWS,-0.3735357364,0.9907794087
PTCT,-0.07120577343,0.3680805468
SAMG,-0.2352941307,0.5269022882
COTY,-0.5351215512,0.3604666121
GTT,-0.2995595519,-0.5509430936
AMGN,-0.1523037978,0.1575136305
CWEN,-0.09269254048,0.7819754466
DOC,-0.2552435129,0.3303748486
REXR,-0.09732943193,0.21467949
SRC,-0.4555711693,0.617413205
AGIO,-0.2569633793,0.2212505778
LIND,-0.7449543439,3.105513164
MRTX,-0.4034606936,1.857285853
AMH,-0.112933605,0.2999440069
IRT,-0.3650575414,0.5742453557
MUSA,-0.2789739529,0.5543543226
FI,-0.4990327966,0.05791718615
ASC,-0.4146160751,-0.3771428818
FOXF,-0.3962914395,1.516905571
SFM,-0.03927638965,0.08122645587
RNG,0.2563595384,0.7883505882
SAIC,-0.1387652455,0.285962625
AAOI,-0.3611110059,0.1212121026
BNFT,-0.593892245,0.6251379932
FEYE,-0.3599511731,1.179583658
NVEE,-0.1815660309,0.9079659975
ISEE,-0.5990673281,1.008720364
PINC,-0.1362193829,0.08475046693
TCFC,-0.376406138,0.2182634099
XLRN,0.6950199794,0.4236108827
DOOR,-0.3428886529,1.072497097
AR,-0.7498598164,6.644828332
BRX,-0.5541117502,0.78546671
BURL,-0.3050917827,0.6505738389
CHMI,-0.5476356129,0.6101723495
CXP,-0.3955439794,0.2047065062
CPS,-0.6902891148,2.375853913
ESRT,-0.3506446675,0.05578076194
MMI,-0.272482709,0.3738014235
QTS,0.07757551834,0.09077187141
RMAX,-0.4247856634,0.6926883734
OMF,-0.5114503681,1.790973346
VEEV,0.1116878551,0.7410630487
ESNT,-0.4902868362,0.6607443518
AERI,-0.4414564285,0.0007401648066
COMM,-0.3579984947,0.4709105955
FATE,0.1349001286,3.094100784
GLPI,-0.3400699399,0.6109732771
MGNX,-0.4650734775,2.927834359
SRNE,-0.4556211676,2.709241007
VCYT,-0.129298755,1.013162872
CHGG,-0.05618544058,1.524596654
TCS,-0.4407576803,3.042372888
SLB,-0.6582341909,0.6517267284
STAY,-0.4925978757,1.030855043
TWTR,-0.2336966509,1.204804478
ALLE,-0.2585516386,0.2762878829
FRBA,-0.3700127651,0.3676612082
HMHC,-0.6991998952,0.7712786568
KPTI,0.002087015583,-0.1941685524
LGIH,-0.3609341683,1.344408614
NMIH,-0.6500907498,0.9509030428
TNDM,0.07951693319,0.4868657125
AMC,-0.5593915858,-0.3291138267
ARMK,-0.5384045601,0.9489043418
CTT,-0.3612852247,0.3554375127
UUUU,-0.3821993034,2.610168582
HLT,-0.3837768281,0.6304229725
KIN,-0.5283022046,0.0774993821
XNCR,-0.1311418017,0.4601738562
OGS,-0.100462152,-0.06293370885
ESI,-0.2842468077,1.128491428
SC,-0.3994262417,0.624608572
CARA,-0.1800128206,0.1453450801
EIGR,-0.5436243097,0.8073533549
DRNA,-0.1661365066,0.1992380229
GLYC,-0.5689983366,0.649120821
ITCI,-0.5520258527,1.068967858
TACO,-0.5660978585,1.641400583
MBUU,-0.2969473459,1.168810412
RARE,0.04027140152,2.115684877
CNCE,-0.04173409984,0.4298626231
EGRX,-0.234353407,0.01239119191
FLXN,-0.6198063414,0.4663270063
INGN,-0.2439635829,-0.1351140086
RVNC,-0.08810890936,0.9148640252
VRNS,-0.1806720329,1.569659836
IBP,-0.4210828995,1.556556124
KN,-0.367375697,0.3774309243
LADR,-0.7184032379,1.218073787
GCI,-0.7680250095,1.270271384
ATEN,-0.09607029094,0.5877614194
BRG,-0.5242742066,1.400578129
OUT,-0.4832212831,0.4510384546
QUOT,-0.3407705548,0.4492306583
QTWO,-0.2715833032,1.142396775
TNET,-0.3347467656,1.140201325
APOG,-0.3556104255,0.5609188932
AKBA,0.1993672292,-0.6306072638
NLTX,-0.07629795771,0.2390166924
CVX,-0.3904117493,0.2177881541
GOOG,-0.130297449,0.5065922392
BLBD,-0.5231237699,0.6706289537
LE,-0.6821432721,3.039326732
PCTY,-0.2689952561,1.331410976
REPH,-0.5542826325,-0.6511624863
TWOU,-0.1154644051,0.8854847752
ALLY,-0.5250134441,1.541488422
CIO,-0.4559414151,0.4282758673
FPI,-0.09734536556,0.462938242
GRUB,-0.1626230743,0.8234748913
MC,-0.08496741864,0.7795391052
PAYC,-0.2370077537,1.238749703
AAPL,-0.1315975985,1.099543242
FIVN,0.1659040811,1.280929584
NAVI,-0.4342103682,0.3720864606
PAHC,-0.02174766782,-0.1821250326
PFIS,-0.2042553518,-0.04668515235
SABR,-0.7295007218,1.026980809
SPWH,-0.2328762575,1.849027056
ARES,-0.1221628607,0.5648990761
HRTG,-0.1871694436,-0.0385251956
DNOW,-0.5409257713,0.3914712164
ZEN,-0.1646872339,1.235902238
LPG,-0.4373389048,0.3995394788
AGRX,-0.2560000822,0.5430120717
BWFG,-0.4682713951,0.3149700328
CTRE,-0.2709642987,0.560274511
FMBH,-0.3265249788,0.4597929036
QTNT,-0.5846476127,0.3189853519
SFBS,-0.2172246938,0.3948619162
TBPH,-0.1073769941,-0.2310699636
TRUE,-0.4905264717,0.7355383965
RYAM,-0.7239583294,5.150940713
TMST,-0.5890582758,0.4458223567
