,tic,RetEarly2020,RetLate2020,ggroup
186,VSTM,0.97015066,-0.1931818856,3520
187,EPAM,-0.124905855,0.9301408953,4510
188,MTDR,-0.8619924422,3.8629081210000002,1010
189,PRLB,-0.2503207965,1.0149729509999998,2010
190,SLCA,-0.7040653237000001,2.90000157,1010
191,BCOV,-0.19792869030000002,1.639885574,4510
192,CCXI,0.01592881985,0.5410635385,3520
193,HMST,-0.3425559124,0.5432737488,4010
194,ALSN,-0.3216061973,0.34038487409999996,2010
195,RM,-0.5451214037,1.2023022540000001,4020
196,NL,-0.2276220379,0.6554192283,2020
197,RXN,-0.30312054899999996,0.7551402706,2010
198,VCRA,0.023121732290000002,0.9552729420999999,3510
199,YELP,-0.48234235,0.8119799959,5020
200,CSTE,-0.2986060547,0.2337863527,2010
201,ENPH,0.23574368010000002,4.43418746,4530
202,GALT,-0.31468555379999996,0.1428565667,3520
203,MTSI,-0.2883451842,1.907556765,4530
204,HEAR,-0.3396829303,2.453525309,4520
205,ACRE,-0.5378788365,0.8799445765999999,4020
206,MRC,-0.6876832814,0.5563403799000001,2010
207,PSX,-0.5126560263000001,0.3588151638,1010
208,RPAI,-0.601819234,0.681660991,6010
209,FRGI,-0.5925180129,1.828786641,2530
210,PFPT,-0.106202304,0.3296620452,4510
211,SPLK,-0.1571749321,0.3458769642,4510
212,TLYS,-0.6109884979,0.975787009,2550
213,WMC,-0.7783156337,0.4871442818,4020
214,CG,-0.3191957802,0.4925322779,4020
215,FB,-0.18733267050000002,0.6376491619,5020
216,SUPN,-0.2415685277,0.39855693729999997,3520
217,ALEX,-0.4556298285,0.5445628499,6010
218,HTA,-0.19814971260000003,0.1771806139,6010
219,NOW,0.01508909559,0.9206833352,4510
220,TROX,-0.5577931934,2.0064123019999998,1510
221,ANAT,-0.2929981977,0.2045825457,4030
222,NGVC,-0.12904415130000002,0.8641463406000001,3010
223,PANW,-0.2909834256,1.167542914,4510
224,CHUY,-0.6114966944,1.6305847690000002,2530
225,FIVE,-0.4495545155,1.4862150330000001,2550
226,FSBW,-0.43316787619999997,0.5439354554,4010
227,HBMD,-0.3566354654,0.08747584426,4010
228,HTBI,-0.4048858806,0.23027632190000002,4010
229,FRG,-0.6241380808,2.673121208,2550
230,GMED,-0.2776833521,0.5335064402,3510
231,BLMN,-0.6728873964000001,1.7198880140000001,2530
232,HY,-0.3155632079,0.5187923969,2010
233,NBHC,-0.31697165920000003,0.3994933918,4010
234,PNR,-0.3483383688,0.8085712343000001,2010
235,LFVN,-0.34016659159999996,-0.09514584289999999,3030
236,QLYS,0.04342073023,0.4009651842,4510
237,BERY,-0.2901669709,0.6668650897999999,1510
238,OLN,-0.3151214175,1.1974613859999998,1510
239,PBYI,-0.03542833248,0.2156399246,3520
240,RLGY,-0.6890500297,3.358804795,6010
241,SSTK,-0.2460355154,1.252963817,2550
242,WDAY,-0.20814817260000001,0.8400389756000001,4510
243,AMBA,-0.1981504422,0.8908565709999999,4530
244,FANG,-0.7138166757,0.8991924467,1010
245,ICPT,-0.49193061439999997,-0.6076872444,3520
246,RH,-0.5294143163,3.454257399,2550
247,PCG,-0.1729534269,0.38598323450000005,5510
248,CHMG,-0.21788237629999999,0.05660371202,4010
249,NEO,-0.056068611670000004,0.9500170501,3520
250,PRTA,-0.3240691476,0.12242885630000001,3520
251,UIHC,-0.2624893588,-0.3627552875,4030
252,ABBV,-0.12695186,0.4643016518,3520
253,PBF,-0.7712822665000001,0.00282376929,1010
254,BFAM,-0.3213125407,0.69598087,2530
255,TPH,-0.4370988272,0.9669313048999999,2520
256,CONE,-0.04860182974,0.2098198843,6010
257,LAND,-0.07675565004,0.2695039797,6010
258,NCLH,-0.8123610759000001,1.320256544,2530
259,BCC,-0.3471933675,1.1094943259999999,2010
260,ORC,-0.4678633303,0.9804052606999999,4020
261,AMSWA,-0.038641147189999996,0.2327815509,4510
262,RC,-0.5058369082999999,0.8727103053,4020
263,ZTS,-0.1094411952,0.4120487567,3520
264,INBK,-0.3049349275,0.767461215,4010
265,XONE,-0.14343215939999998,0.4851321611,2010
266,APAM,-0.305307714,1.478086201,4020
267,MODN,-0.3666954576,0.6064838891,4510
268,ENTA,-0.1675296527,-0.18141105920000003,3520
269,EVTC,-0.3307870979,0.7382403115,4510
270,HASI,-0.36575526630000005,2.219037797,4020
271,PEP,-0.1142533992,0.2621729519,3020
272,SEAS,-0.6524759001,1.866607779,2530
273,TMHC,-0.4967977364,1.3318191659999998,2520
274,TXMD,-0.5619835216,0.1415102974,3520
275,CMRX,-0.290640752,2.354167636,3520
276,HMTV,-0.42491610939999996,0.2131149001,5020
277,IBTX,-0.5705646204,1.68620529,4010
278,AHH,-0.4049046225,0.07145654771000001,6010
279,ECOM,-0.1969028911,1.201103134,4510
280,MO,-0.2083755346,0.1302689916,3020
281,VOYA,-0.3331334788,0.46313940979999996,4020
282,NRZ,-0.6890135504000001,1.107627076,4020
